kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;nilai_idm_kecamatan;status_idm_kecamatan;tahun
15;JAMBI;1572;KOTA SUNGAI  PENUH;157201;SUNGAI  PENUH;0,9614;MANDIRI;2024
15;JAMBI;1572;KOTA SUNGAI  PENUH;157208;SUNGAI  BUNGKAL;0,9375;MANDIRI;2024
15;JAMBI;1572;KOTA SUNGAI  PENUH;157206;PONDOK TINGGI;0,9230;MANDIRI;2024
15;JAMBI;1504;BATANGHARI;150407;BAJUBANG;0,9014;MANDIRI;2024
15;JAMBI;1572;KOTA SUNGAI  PENUH;157202;PESISIR BUKIT;0,8929;MANDIRI;2024
15;JAMBI;1572;KOTA SUNGAI  PENUH;157207;KOTO BARU;0,8833;MANDIRI;2024
15;JAMBI;1572;KOTA SUNGAI  PENUH;157203;HAMPARAN  RAWANG;0,8771;MANDIRI;2024
15;JAMBI;1572;KOTA SUNGAI  PENUH;157204;TANAH KAMPUNG;0,8683;MANDIRI;2024
15;JAMBI;1504;BATANGHARI;150401;MERSAM;0,8644;MANDIRI;2024
15;JAMBI;1505;MUARO JAMBI;150501;JAMBI  LUAR KOTA;0,8594;MANDIRI;2024
15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;0,8588;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150213;PAMENANG BARAT;0,8508;MANDIRI;2024
15;JAMBI;1504;BATANGHARI;150404;BATIN XXIV;0,8500;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150219;RENAH PAMENANG;0,8488;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150210;BANGKO BARAT;0,8471;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150222;TABIR LINTAS;0,8471;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150220;PAMENANG SELATAN;0,8457;MANDIRI;2024
15;JAMBI;1572;KOTA SUNGAI  PENUH;157205;KUMUN DEBAI;0,8439;MANDIRI;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150609;MUARA PAPALIK;0,8404;MANDIRI;2024
15;JAMBI;1504;BATANGHARI;150403;MUARA BULIAN;0,8402;MANDIRI;2024
15;JAMBI;1503;SAROLANGUN;150303;SAROLANGUN;0,8305;MANDIRI;2024
15;JAMBI;1504;BATANGHARI;150408;MARO SEBO ILIR;0,8301;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150202;BANGKO;0,8275;MANDIRI;2024
15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;0,8244;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;0,8239;MANDIRI;2024
15;JAMBI;1504;BATANGHARI;150405;PEMAYUNG;0,8222;MANDIRI;2024
