NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
1;15;JAMBI;1501;KAKAO;398;KG/HA;2024
2;15;JAMBI;1502;KAKAO;608;KG/HA;2024
3;15;JAMBI;1503;KAKAO;0;KG/HA;2024
4;15;JAMBI;1504;KAKAO;633;KG/HA;2024
5;15;JAMBI;1505;KAKAO;573;KG/HA;2024
6;15;JAMBI;1506;KAKAO;117;KG/HA;2024
7;15;JAMBI;1507;KAKAO;819;KG/HA;2024
8;15;JAMBI;1508;KAKAO;951;KG/HA;2024
9;15;JAMBI;1509;KAKAO;483;KG/HA;2024
10;15;JAMBI;1572;KAKAO;408;KG/HA;2024
11;15;JAMBI;1501;KAKAO;398;KG/HA;2023
12;15;JAMBI;1502;KAKAO;596;KG/HA;2023
13;15;JAMBI;1503;KAKAO;0;KG/HA;2023
14;15;JAMBI;1504;KAKAO;633;KG/HA;2023
15;15;JAMBI;1505;KAKAO;581;KG/HA;2023
16;15;JAMBI;1506;KAKAO;116;KG/HA;2023
17;15;JAMBI;1507;KAKAO;747;KG/HA;2023
18;15;JAMBI;1508;KAKAO;950;KG/HA;2023
19;15;JAMBI;1509;KAKAO;491;KG/HA;2023
20;15;JAMBI;1572;KAKAO;408;KG/HA;2023
21;15;JAMBI;1501;KAKAO;398;KG/HA;2022
22;15;JAMBI;1502;KAKAO;656;KG/HA;2022
23;15;JAMBI;1503;KAKAO;0;KG/HA;2022
24;15;JAMBI;1504;KAKAO;767;KG/HA;2022
25;15;JAMBI;1505;KAKAO;653;KG/HA;2022
26;15;JAMBI;1506;KAKAO;116;KG/HA;2022
27;15;JAMBI;1507;KAKAO;747;KG/HA;2022
28;15;JAMBI;1508;KAKAO;950;KG/HA;2022
29;15;JAMBI;1509;KAKAO;501;KG/HA;2022
30;15;JAMBI;1572;KAKAO;408;KG/HA;2022
