NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produksi;satuan;tahun
1;15;JAMBI;1501;KAKAO;53;TON;2024
2;15;JAMBI;1502;KAKAO;79;TON;2024
3;15;JAMBI;1503;KAKAO;10;TON;2024
4;15;JAMBI;1504;KAKAO;19;TON;2024
5;15;JAMBI;1505;KAKAO;85;TON;2024
6;15;JAMBI;1506;KAKAO;20;TON;2024
7;15;JAMBI;1507;KAKAO;265;TON;2024
8;15;JAMBI;1508;KAKAO;58;TON;2024
9;15;JAMBI;1509;KAKAO;61;TON;2024
10;15;JAMBI;1572;KAKAO;40;TON;2024
11;15;JAMBI;1501;KAKAO;53;TON;2023
12;15;JAMBI;1502;KAKAO;59;TON;2023
13;15;JAMBI;1503;KAKAO;8;TON;2023
14;15;JAMBI;1504;KAKAO;19;TON;2023
15;15;JAMBI;1505;KAKAO;151;TON;2023
16;15;JAMBI;1506;KAKAO;20;TON;2023
17;15;JAMBI;1507;KAKAO;242;TON;2023
18;15;JAMBI;1508;KAKAO;57;TON;2023
19;15;JAMBI;1509;KAKAO;73;TON;2023
20;15;JAMBI;1572;KAKAO;40;TON;2023
21;15;JAMBI;1501;KAKAO;53;TON;2022
22;15;JAMBI;1502;KAKAO;63;TON;2022
23;15;JAMBI;1503;KAKAO;8;TON;2022
24;15;JAMBI;1504;KAKAO;23;TON;2022
25;15;JAMBI;1505;KAKAO;358;TON;2022
26;15;JAMBI;1506;KAKAO;20;TON;2022
27;15;JAMBI;1507;KAKAO;242;TON;2022
28;15;JAMBI;1508;KAKAO;57;TON;2022
29;15;JAMBI;1509;KAKAO;72;TON;2022
30;15;JAMBI;1572;KAKAO;40;TON;2022
