NO;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;komoditi;luas_tanaman_belum_menghasilkan;luas_tanaman_menghasilkan;luas_tanaman_tidak_menghasilkan_atau_tanaman_rusak;jumlah;satuan;tahun
1;15;JAMBI;1501;KERINCI;KAKAO;72;133;15;220;HEKTAR;2024
2;15;JAMBI;1502;MERANGIN;KAKAO;65;130;2;197;HEKTAR;2024
3;15;JAMBI;1503;SAROLANGUN;KAKAO;30;19;0;49;HEKTAR;2024
4;15;JAMBI;1504;BATANGHARI;KAKAO;6;30;0;36;HEKTAR;2024
5;15;JAMBI;1505;MUARO JAMBI;KAKAO;0;149;123;272;HEKTAR;2024
6;15;JAMBI;1506;TANJAB BARAT;KAKAO;2;171;76;249;HEKTAR;2024
7;15;JAMBI;1507;TANJAB TIMUR;KAKAO;31;324;81;436;HEKTAR;2024
8;15;JAMBI;1508;BUNGO;KAKAO;34;61;7;102;HEKTAR;2024
9;15;JAMBI;1509;TEBO;KAKAO;68;127;78;273;HEKTAR;2024
10;15;JAMBI;1572;SUNGAI PENUH;KAKAO;0;98;0;98;HEKTAR;2024
11;15;JAMBI;1501;KERINCI;KAKAO;72;133;15;220;HEKTAR;2023
12;15;JAMBI;1502;MERANGIN;KAKAO;106;99;2;207;HEKTAR;2023
13;15;JAMBI;1503;SAROLANGUN;KAKAO;33;16;-;49;HEKTAR;2023
14;15;JAMBI;1504;BATANGHARI;KAKAO;6;30;-;36;HEKTAR;2023
15;15;JAMBI;1505;MUARO JAMBI;KAKAO;92;260;95;447;HEKTAR;2023
16;15;JAMBI;1506;TANJAB BARAT;KAKAO;7;173;76;256;HEKTAR;2023
17;15;JAMBI;1507;TANJAB TIMUR;KAKAO;31;324;81;436;HEKTAR;2023
18;15;JAMBI;1508;BUNGO;KAKAO;31;60;7;98;HEKTAR;2023
19;15;JAMBI;1509;TEBO;KAKAO;93;148;74;315;HEKTAR;2023
20;15;JAMBI;1572;SUNGAI PENUH;KAKAO;-;98;25;109;HEKTAR;2023
21;15;JAMBI;1501;KERINCI;KAKAO;72;133;15;220;HEKTAR;2022
22;15;JAMBI;1502;MERANGIN;KAKAO;110;96;4;210;HEKTAR;2022
23;15;JAMBI;1503;SAROLANGUN;KAKAO;33;16;-;49;HEKTAR;2022
24;15;JAMBI;1504;BATANGHARI;KAKAO;6;30;-;36;HEKTAR;2022
25;15;JAMBI;1505;MUARO JAMBI;KAKAO;158;548;150;856;HEKTAR;2022
26;15;JAMBI;1506;TANJAB BARAT;KAKAO;7;173;76;256;HEKTAR;2022
27;15;JAMBI;1507;TANJAB TIMUR;KAKAO;36;324;81;441;HEKTAR;2022
28;15;JAMBI;1508;BUNGO;KAKAO;29;60;8;97;HEKTAR;2022
29;15;JAMBI;1509;TEBO;KAKAO;134;144;63;341;HEKTAR;2022
30;15;JAMBI;1572;SUNGAI PENUH;KAKAO;-;98;25;123;HEKTAR;2022
