id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan;kbli;jenis_industri;nama_perusahaan;tenaga_kerja;keterangan;kategori_perusahaan;satuan;tahun
1;15;JAMBI;1506;150606;1501022005;17012,16105,20111,17011,17091;INDUSTRI KERTAS BUDAYA,INDUSTRI BUBR KERTAS/PULP, CHIPWOOD, KERTAS, TISSUE DAN KIMIA DASAR ANORGANIK, KHLOR SERTA ALKALI,INDUSTRI KIMIA DASAR ORGANIK, CHLOR, ALKALI,INDUSTRI BUBUR KERTAS (PULP),INDUSTRI KERTAS TISSUE;PT. LONTAR PAPYRUS PULP & PAPER INDUSTRY;1560;-;BESAR;PERUSAHAAN;2024
2;15;JAMBI;1502;150222;1502222001;10431;INDUSTRI PENGOLAHAN MINYAK SAWIT ( CPO) DAN INTI SAWIT;PT. AGRINDO INDAH PERSADA;132;-;BESAR;PERUSAHAAN;2024
3;15;JAMBI;1506;150604;1506042013;12011;INDUSTRI KRETEK;CV. BAHTERA SEJAHTERA TOBACCO;-;-;BELUM MELAPOR/MENGISI INVESTASI;PERUSAHAAN;2024
4;15;JAMBI;1504;150405;1504052015;22123;KARET REMAH;PT. ANEKA BUMI PRATAMA;565;-;BESAR;PERUSAHAAN;2024
5;15;JAMBI;1571;157105;1571051001;22123;INDUSTRI KARET REMAH (CRUMB RUBBER);PT. ANGKASA RAYA DJAMBI;-;-;BELUM MELAPOR/MENGISI INVESTASI;PERUSAHAAN;2024
6;15;JAMBI;1506;150607;1506072003;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. PERSADA ALAM JAYA;128;-;BESAR;PERUSAHAAN;2024
7;15;JAMBI;1571;157105;1571051006;22123;INDUSTRI KARET REMAH (CRUMB RUBBER);PT. DJAMBI WARAS;251;-;BESAR;PERUSAHAAN;2024
8;15;JAMBI;1571;157103;-;22123;INDUSTRI KARET REMAH ( CRUMB RUBBER );PT.BATANGHARI TEMBESI;-;-;BELUM MELAPOR/MENGISI INVESTASI;PERUSAHAAN;2024
9;15;JAMBI;1508;150804;1508042004;22123;INDUSTRI KARET REMAH (CRUMB RUBBER);PT. DJAMBI WARAS;322;-;BESAR;PERUSAHAAN;2024
10;15;JAMBI;1508;150804;1508042004;22123;INDUSTRI KARET REMAH (CRUMB RUBBER);PT. STAR RUBBER;211;-;BESAR;PERUSAHAAN;2024
11;15;JAMBI;1505;150506;1505062024;11040;INDUSTRI MINUMAN RINGAN;PT. AFRESH INDONESIA;123;-;BESAR;PERUSAHAAN;2024
12;15;JAMBI;1571;157105;1571051006;22123;CRUMB RUBBER;PT. HADJI DJAMALOEDIN AND HADJI SHAMSOEDIN RUBBER REMILLING;268;-;KECIL;PERUSAHAAN;2024
13;15;JAMBI;1503;150308;1501162015;22123;INDUSTRI KARET REMAH;PT. KARET BATIN DELAPAN;262;-;BESAR;PERUSAHAAN;2024
14;15;JAMBI;1571;157103;-;22123;CRUMB RUBBER;TBK HOK TONG;173;-;BESAR;PERUSAHAAN;2024
15;15;JAMBI;1507;150710;1507102001;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. MUARA JAMBI SAWIT LESTARI;131;-;KECIL;PERUSAHAAN;2024
16;15;JAMBI;1505;150505;1505052001;10431;INDUSTRI MINYAK MENTAH KELAPA SAWIT (CRUDE PALM OIL);PT. ANGSO DUO SAWIT;-;-;BELUM MELAPOR/MENGISI INVESTASI;PERUSAHAAN;2024
17;15;JAMBI;1506;150604;1506042001;10421;INDUSTRI KOPRA;PT. RUBY PRIVATINDO;203;-;BESAR;PERUSAHAAN;2024
18;15;JAMBI;1508;150806;1508062006;22123;INDUSTRI KARET REMAH (CRUMB RUBBER);PT. ANUGRAHBUNGO LESTARI;162;-;BESAR;PERUSAHAAN;2024
