id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produksi;satuan;tahun;
;15;JAMBI;1501;KARET;546;TON;2024;
;15;JAMBI;1501;KELAPA SAWIT;14;TON;2024;
;15;JAMBI;1501;KELAPA DALAM;12;TON;2024;
;15;JAMBI;1501;KOPI ROBUSTA;4537;TON;2024;
;15;JAMBI;1501;KOPI ARABIKA;1045;TON;2024;
;15;JAMBI;1501;CASSIAVERA;26693;TON;2024;
;15;JAMBI;1501;KAKAO;53;TON;2024;
;15;JAMBI;1501;PINANG;32;TON;2024;
;15;JAMBI;1501;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1502;KARET;86098;TON;2024;
;15;JAMBI;1502;KELAPA SAWIT;206968;TON;2024;
;15;JAMBI;1502;KELAPA DALAM;749;TON;2024;
;15;JAMBI;1502;KOPI ROBUSTA;13335;TON;2024;
;15;JAMBI;1502;KOPI ARABIKA;23;TON;2024;
;15;JAMBI;1502;CASSIAVERA;5000;TON;2024;
;15;JAMBI;1502;KAKAO;79;TON;2024;
;15;JAMBI;1502;PINANG;88;TON;2024;
;15;JAMBI;1502;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1503;KARET;54234;TON;2024;
;15;JAMBI;1503;KELAPA SAWIT;116580;TON;2024;
;15;JAMBI;1503;KELAPA DALAM;204;TON;2024;
;15;JAMBI;1503;KOPI ROBUSTA;642;TON;2024;
;15;JAMBI;1503;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1503;CASSIAVERA;59;TON;2024;
;15;JAMBI;1503;KAKAO;10;TON;2024;
;15;JAMBI;1503;PINANG;29;TON;2024;
;15;JAMBI;1503;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1504;KARET;61208;TON;2024;
;15;JAMBI;1504;KELAPA SAWIT;329283;TON;2024;
;15;JAMBI;1504;KELAPA DALAM;302;TON;2024;
;15;JAMBI;1504;KOPI ROBUSTA;0;TON;2024;
;15;JAMBI;1504;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1504;CASSIAVERA;0;TON;2024;
;15;JAMBI;1504;KAKAO;19;TON;2024;
;15;JAMBI;1504;PINANG;17;TON;2024;
;15;JAMBI;1504;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1505;KARET;24132;TON;2024;
;15;JAMBI;1505;KELAPA SAWIT;248187;TON;2024;
;15;JAMBI;1505;KELAPA DALAM;545;TON;2024;
;15;JAMBI;1505;KOPI ROBUSTA;27;TON;2024;
;15;JAMBI;1505;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1505;CASSIAVERA;0;TON;2024;
;15;JAMBI;1505;KAKAO;85;TON;2024;
;15;JAMBI;1505;PINANG;146;TON;2024;
;15;JAMBI;1505;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1506;KARET;2752;TON;2024;
;15;JAMBI;1506;KELAPA SAWIT;153292;TON;2024;
;15;JAMBI;1506;KELAPA DALAM;55224;TON;2024;
;15;JAMBI;1506;KOPI ROBUSTA;0;TON;2024;
;15;JAMBI;1506;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1506;CASSIAVERA;0;TON;2024;
;15;JAMBI;1506;KAKAO;20;TON;2024;
;15;JAMBI;1506;PINANG;14048;TON;2024;
;15;JAMBI;1506;KOPI LIBERIKA;1128;TON;2024;
;15;JAMBI;1507;KARET;2515;TON;2024;
;15;JAMBI;1507;KELAPA SAWIT;76398;TON;2024;
;15;JAMBI;1507;KELAPA DALAM;57288;TON;2024;
;15;JAMBI;1507;KOPI ROBUSTA;0;TON;2024;
;15;JAMBI;1507;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1507;CASSIAVERA;0;TON;2024;
;15;JAMBI;1507;KAKAO;265;TON;2024;
;15;JAMBI;1507;PINANG;17919;TON;2024;
;15;JAMBI;1507;KOPI LIBERIKA;1237;TON;2024;
;15;JAMBI;1508;KARET;50513;TON;2024;
;15;JAMBI;1508;KELAPA SAWIT;108032;TON;2024;
;15;JAMBI;1508;KELAPA DALAM;538;TON;2024;
;15;JAMBI;1508;KOPI ROBUSTA;489;TON;2024;
;15;JAMBI;1508;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1508;CASSIAVERA;18;TON;2024;
;15;JAMBI;1508;KAKAO;58;TON;2024;
;15;JAMBI;1508;PINANG;51;TON;2024;
;15;JAMBI;1508;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1509;KARET;50354;TON;2024;
;15;JAMBI;1509;KELAPA SAWIT;119310;TON;2024;
;15;JAMBI;1509;KELAPA DALAM;377;TON;2024;
;15;JAMBI;1509;KOPI ROBUSTA;41;TON;2024;
;15;JAMBI;1509;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1509;CASSIAVERA;0;TON;2024;
;15;JAMBI;1509;KAKAO;61;TON;2024;
;15;JAMBI;1509;PINANG;36;TON;2024;
;15;JAMBI;1509;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1571;KARET;0;TON;2024;
;15;JAMBI;1571;KELAPA SAWIT;0;TON;2024;
;15;JAMBI;1571;KELAPA DALAM;0;TON;2024;
;15;JAMBI;1571;KOPI ROBUSTA;0;TON;2024;
;15;JAMBI;1571;KOPI ARABIKA;0;TON;2024;
;15;JAMBI;1571;CASSIAVERA;0;TON;2024;
;15;JAMBI;1571;KAKAO;0;TON;2024;
;15;JAMBI;1571;PINANG;0;TON;2024;
;15;JAMBI;1571;KOPI LIBERIKA;0;TON;2024;
;15;JAMBI;1572;KARET;0;TON;2024;
;15;JAMBI;1572;KELAPA SAWIT;0;TON;2024;
;15;JAMBI;1572;KELAPA DALAM;3;TON;2024;
;15;JAMBI;1572;KOPI ROBUSTA;330;TON;2024;
;15;JAMBI;1572;KOPI ARABIKA;373;TON;2024;
;15;JAMBI;1572;CASSIAVERA;276;TON;2024;
;15;JAMBI;1572;KAKAO;40;TON;2024;
;15;JAMBI;1572;PINANG;21;TON;2024;
;15;JAMBI;1572;KOPI LIBERIKA;0;TON;2024;
