;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;komoditi;produksi;satuan;tahun;
;15;JAMBI;1501;KERINCI;TEBU;9839;TON;2024;
;15;JAMBI;1501;KERINCI;TEMBAKAU;170;TON;2024;
;15;JAMBI;1501;KERINCI;NILAM;0;TON;2024;
;15;JAMBI;1502;MERANGIN;TEBU;0;TON;2024;
;15;JAMBI;1502;MERANGIN;TEMBAKAU;2;TON;2024;
;15;JAMBI;1502;MERANGIN;NILAM;109;TON;2024;
;15;JAMBI;1503;SAROLANGUN;TEBU;0;TON;2024;
;15;JAMBI;1503;SAROLANGUN;TEMBAKAU;0;TON;2024;
;15;JAMBI;1503;SAROLANGUN;NILAM;0;TON;2024;
;15;JAMBI;1504;BATANGHARI;TEBU;0;TON;2024;
;15;JAMBI;1504;BATANGHARI;TEMBAKAU;0;TON;2024;
;15;JAMBI;1504;BATANGHARI;NILAM;0;TON;2024;
;15;JAMBI;1505;MUARO JAMBI;TEBU;0;TON;2024;
;15;JAMBI;1505;MUARO JAMBI;TEMBAKAU;0;TON;2024;
;15;JAMBI;1505;MUARO JAMBI;NILAM;0;TON;2024;
;15;JAMBI;1506;TANJUNG JABUNG BARAT;TEBU;0;TON;2024;
;15;JAMBI;1506;TANJUNG JABUNG BARAT;TEMBAKAU;0;TON;2024;
;15;JAMBI;1506;TANJUNG JABUNG BARAT;NILAM;0;TON;2024;
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;TEBU;0;TON;2024;
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;TEMBAKAU;0;TON;2024;
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;NILAM;0;TON;2024;
;15;JAMBI;1508;BUNGO;TEBU;0;TON;2024;
;15;JAMBI;1508;BUNGO;TEMBAKAU;0;TON;2024;
;15;JAMBI;1508;BUNGO;NILAM;0;TON;2024;
;15;JAMBI;1509;TEBO;TEBU;0;TON;2024;
id;15;JAMBI;1509;TEBO;TEMBAKAU;0;TON;2024;
;15;JAMBI;1509;TEBO;NILAM;0;TON;2024;
;15;JAMBI;1571;KOTA JAMBI;TEBU;0;TON;2024;
;15;JAMBI;1571;KOTA JAMBI;TEMBAKAU;0;TON;2024;
;15;JAMBI;1571;KOTA JAMBI;NILAM;0;TON;2024;
;15;JAMBI;1572;KOTA SUNGAI PENUH;TEBU;6;TON;2024;
;15;JAMBI;1572;KOTA SUNGAI PENUH;TEMBAKAU;24;TON;2024;
;15;JAMBI;1572;KOTA SUNGAI PENUH;NILAM;0;TON;2024;
