;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produksi;satuan;tahun;
;15;JAMBI;1501;TEBU;9839;TON;2024;
;15;JAMBI;1501;TEMBAKAU;170;TON;2024;
;15;JAMBI;1501;NILAM;0;TON;2024;
;15;JAMBI;1502;TEBU;0;TON;2024;
;15;JAMBI;1502;TEMBAKAU;2;TON;2024;
;15;JAMBI;1502;NILAM;109;TON;2024;
;15;JAMBI;1503;TEBU;0;TON;2024;
;15;JAMBI;1503;TEMBAKAU;0;TON;2024;
;15;JAMBI;1503;NILAM;0;TON;2024;
;15;JAMBI;1504;TEBU;0;TON;2024;
;15;JAMBI;1504;TEMBAKAU;0;TON;2024;
;15;JAMBI;1504;NILAM;0;TON;2024;
;15;JAMBI;1505;TEBU;0;TON;2024;
;15;JAMBI;1505;TEMBAKAU;0;TON;2024;
;15;JAMBI;1505;NILAM;0;TON;2024;
;15;JAMBI;1506;TEBU;0;TON;2024;
;15;JAMBI;1506;TEMBAKAU;0;TON;2024;
;15;JAMBI;1506;NILAM;0;TON;2024;
;15;JAMBI;1507;TEBU;0;TON;2024;
;15;JAMBI;1507;TEMBAKAU;0;TON;2024;
;15;JAMBI;1507;NILAM;0;TON;2024;
;15;JAMBI;1508;TEBU;0;TON;2024;
;15;JAMBI;1508;TEMBAKAU;0;TON;2024;
;15;JAMBI;1508;NILAM;0;TON;2024;
;15;JAMBI;1509;TEBU;0;TON;2024;
id;15;JAMBI;1509;TEMBAKAU;0;TON;2024;
;15;JAMBI;1509;NILAM;0;TON;2024;
;15;JAMBI;1571;TEBU;0;TON;2024;
;15;JAMBI;1571;TEMBAKAU;0;TON;2024;
;15;JAMBI;1571;NILAM;0;TON;2024;
;15;JAMBI;1572;TEBU;6;TON;2024;
;15;JAMBI;1572;TEMBAKAU;24;TON;2024;
;15;JAMBI;1572;NILAM;0;TON;2024;
