id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;luas_area_tanaman_belum_menghasilkan;luas_area_tanaman_menghasilkan;luas_area_tanaman_rusak;satuan;tahun;
;15;JAMBI;1501;KARET;0;1605;87;HEKTAR;2024;
;15;JAMBI;1501;KELAPA SAWIT;65;19;0;HEKTAR;2024;
;15;JAMBI;1501;KELAPA DALAM;0;26;0;HEKTAR;2024;
;15;JAMBI;1501;KOPI ROBUSTA;1023;4839;906;HEKTAR;2024;
;15;JAMBI;1501;KOPI ARABIKA;1524;1404;0;HEKTAR;2024;
;15;JAMBI;1501;CASSIAVERA;26962;14215;0;HEKTAR;2024;
;15;JAMBI;1501;KAKAO;72;133;15;HEKTAR;2024;
;15;JAMBI;1501;PINANG;18;67;0;HEKTAR;2024;
;15;JAMBI;1501;KOPI LIBERIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1502;KARET;15835;102854;18529;HEKTAR;2024;
;15;JAMBI;1502;KELAPA SAWIT;8222;52477;10035;HEKTAR;2024;
;15;JAMBI;1502;KELAPA DALAM;169;1065;58;HEKTAR;2024;
;15;JAMBI;1502;KOPI ROBUSTA;1227;10563;0;HEKTAR;2024;
;15;JAMBI;1502;KOPI ARABIKA;11;36;0;HEKTAR;2024;
;15;JAMBI;1502;CASSIAVERA;1531;2946;0;HEKTAR;2024;
;15;JAMBI;1502;KAKAO;65;130;2;HEKTAR;2024;
;15;JAMBI;1502;PINANG;70;294;5;HEKTAR;2024;
;15;JAMBI;1502;KOPI LIBERIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1503;KARET;28247;66499;26974;HEKTAR;2024;
;15;JAMBI;1503;KELAPA SAWIT;13330;41287;3826;HEKTAR;2024;
;15;JAMBI;1503;KELAPA DALAM;54;262;42;HEKTAR;2024;
;15;JAMBI;1503;KOPI ROBUSTA;323;541;24;HEKTAR;2024;
;15;JAMBI;1503;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1503;CASSIAVERA;147;200;200;HEKTAR;2024;
;15;JAMBI;1503;KAKAO;30;19;0;HEKTAR;2024;
;15;JAMBI;1503;PINANG;23;99;26;HEKTAR;2024;
;15;JAMBI;1503;KOPI LIBERIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1504;KARET;0;68638;3193;HEKTAR;2024;
;15;JAMBI;1504;KELAPA SAWIT;13093,06;93145;6494;HEKTAR;2024;
;15;JAMBI;1504;KELAPA DALAM;25;299;4;HEKTAR;2024;
;15;JAMBI;1504;KOPI ROBUSTA;0;0;0;HEKTAR;2024;
;15;JAMBI;1504;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1504;CASSIAVERA;0;0;0;HEKTAR;2024;
;15;JAMBI;1504;KAKAO;6;30;0;HEKTAR;2024;
;15;JAMBI;1504;PINANG;27.5;36.5;0;HEKTAR;2024;
;15;JAMBI;1504;KOPI LIBERIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1505;KARET;9248;33835;6641;HEKTAR;2024;
;15;JAMBI;1505;KELAPA SAWIT;14744,52;95670;29760;HEKTAR;2024;
;15;JAMBI;1505;KELAPA DALAM;0;603;224;HEKTAR;2024;
;15;JAMBI;1505;KOPI ROBUSTA;0;49;14;HEKTAR;2024;
;15;JAMBI;1505;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1505;CASSIAVERA;0;0;0;HEKTAR;2024;
;15;JAMBI;1505;KAKAO;0;149;123;HEKTAR;2024;
;15;JAMBI;1505;PINANG;287;138;15;HEKTAR;2024;
;15;JAMBI;1505;KOPI LIBERIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1506;KARET;1031;5489;239;HEKTAR;2024;
;15;JAMBI;1506;KELAPA SAWIT;23309;58807;6509;HEKTAR;2024;
;15;JAMBI;1506;KELAPA DALAM;3805;40414;7115;HEKTAR;2024;
;15;JAMBI;1506;KOPI ROBUSTA;0;0;0;HEKTAR;2024;
;15;JAMBI;1506;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1506;CASSIAVERA;0;0;0;HEKTAR;2024;
;15;JAMBI;1506;KAKAO;2;171;76;HEKTAR;2024;
;15;JAMBI;1506;PINANG;3903;9709;232;HEKTAR;2024;
;15;JAMBI;1506;KOPI LIBERIKA;399;2034;410;HEKTAR;2024;
;15;JAMBI;1507;KARET;0;3716;3028;HEKTAR;2024;
;15;JAMBI;1507;KELAPA SAWIT;2796;29832;8663;HEKTAR;2024;
;15;JAMBI;1507;KELAPA DALAM;459;50337;8111;HEKTAR;2024;
;15;JAMBI;1507;KOPI ROBUSTA;0;0;0;HEKTAR;2024;
;15;JAMBI;1507;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1507;CASSIAVERA;0;0;0;HEKTAR;2024;
;15;JAMBI;1507;KAKAO;31;324;81;HEKTAR;2024;
;15;JAMBI;1507;PINANG;1151;8296;395;HEKTAR;2024;
;15;JAMBI;1507;KOPI LIBERIKA;405;2279;780;HEKTAR;2024;
;15;JAMBI;1508;KARET;27681;49175;14248;HEKTAR;2024;
;15;JAMBI;1508;KELAPA SAWIT;27419;31311;14791;HEKTAR;2024;
;15;JAMBI;1508;KELAPA DALAM;85;626;59;HEKTAR;2024;
;15;JAMBI;1508;KOPI ROBUSTA;115;507;311;HEKTAR;2024;
;15;JAMBI;1508;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1508;CASSIAVERA;1;17;0;HEKTAR;2024;
;15;JAMBI;1508;KAKAO;34;61;7;HEKTAR;2024;
;15;JAMBI;1508;PINANG;64;81;15;HEKTAR;2024;
;15;JAMBI;1508;KOPI LIBERIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1509;KARET;31735;62640;18809;HEKTAR;2024;
;15;JAMBI;1509;KELAPA SAWIT;15225;42630,78;12132;HEKTAR;2024;
;15;JAMBI;1509;KELAPA DALAM;104;547;280;HEKTAR;2024;
;15;JAMBI;1509;KOPI ROBUSTA;60;84;112;HEKTAR;2024;
;15;JAMBI;1509;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1509;CASSIAVERA;0;0;0;HEKTAR;2024;
;15;JAMBI;1509;KAKAO;68;127;78;HEKTAR;2024;
;15;JAMBI;1509;PINANG;51;114;128;HEKTAR;2024;
;15;JAMBI;1509;KOPI LIBERIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;KARET;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;KELAPA SAWIT;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;KELAPA DALAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;KOPI ROBUSTA;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;KOPI ARABIKA;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;CASSIAVERA;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;KAKAO;0;0;0;HEKTAR;2024;
