id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;luas_area_tanaman_belum_menghasilkan;luas_area_tanaman_menghasilkan;luas_area_tanaman_rusak;satuan;tahun;
;15;JAMBI;1501;TEBU;200;1689;0;HEKTAR;2022;
;15;JAMBI;1501;TEMBAKAU;174;286;0;HEKTAR;2022;
;15;JAMBI;1501;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1502;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1502;TEMBAKAU;2;4;0;HEKTAR;2022;
;15;JAMBI;1502;NILAM;377;787;0;HEKTAR;2022;
;15;JAMBI;1503;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1503;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1503;NILAM;0;86;31;HEKTAR;2022;
;15;JAMBI;1504;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1504;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1504;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1505;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1505;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1505;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1506;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1506;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1506;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1507;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1507;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1507;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1508;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1508;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1508;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1509;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1509;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1509;NILAM;19;36;16;HEKTAR;2022;
;15;JAMBI;1571;TEBU;0;0;0;HEKTAR;2022;
;15;JAMBI;1571;TEMBAKAU;0;0;0;HEKTAR;2022;
;15;JAMBI;1571;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1572;TEBU;0;3;0;HEKTAR;2022;
;15;JAMBI;1572;TEMBAKAU;32;21;0;HEKTAR;2022;
;15;JAMBI;1572;NILAM;0;0;0;HEKTAR;2022;
;15;JAMBI;1501;TEBU;150;1739;0;HEKTAR;2023;
;15;JAMBI;1501;TEMBAKAU;77;276;0;HEKTAR;2023;
;15;JAMBI;1501;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1502;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1502;TEMBAKAU;1;5;0;HEKTAR;2023;
;15;JAMBI;1502;NILAM;366;758;0;HEKTAR;2023;
;15;JAMBI;1503;TEBU;34;0;0;HEKTAR;2023;
;15;JAMBI;1503;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1503;NILAM;0;34;0;HEKTAR;2023;
;15;JAMBI;1504;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1504;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1504;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1505;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1505;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1505;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1506;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1506;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1506;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1507;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1507;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1507;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1508;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1508;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1508;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1509;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1509;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1509;NILAM;15;24;0;HEKTAR;2023;
;15;JAMBI;1571;TEBU;0;0;0;HEKTAR;2023;
;15;JAMBI;1571;TEMBAKAU;0;0;0;HEKTAR;2023;
;15;JAMBI;1571;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1572;TEBU;29;24;0;HEKTAR;2023;
;15;JAMBI;1572;TEMBAKAU;0;3;0;HEKTAR;2023;
;15;JAMBI;1572;NILAM;0;0;0;HEKTAR;2023;
;15;JAMBI;1501;TEBU;153;1739;0;HEKTAR;2024;
;15;JAMBI;1501;TEMBAKAU;77;276;0;HEKTAR;2024;
;15;JAMBI;1501;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1502;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1502;TEMBAKAU;1;5;0;HEKTAR;2024;
;15;JAMBI;1502;NILAM;371;743;0;HEKTAR;2024;
;15;JAMBI;1503;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1503;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1503;NILAM;34;0;0;HEKTAR;2024;
;15;JAMBI;1504;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1504;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1504;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1505;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1505;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1505;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1506;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1506;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1506;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1507;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1507;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1507;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1508;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1508;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1508;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1509;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1509;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1509;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;TEBU;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;TEMBAKAU;0;0;0;HEKTAR;2024;
;15;JAMBI;1571;NILAM;0;0;0;HEKTAR;2024;
;15;JAMBI;1572;TEBU;0;3;0;HEKTAR;2024;
;15;JAMBI;1572;TEMBAKAU;0;24;0;HEKTAR;2024;
;15;JAMBI;1572;NILAM;0;0;0;HEKTAR;2024;
