id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;nama_kabupaten_kota;produktivitas;satuan;tahun
;15;JAMBI;1501;TEBU;KERINCI;5721;KG/HA;2022
;15;JAMBI;1501;TEMBAKAU;KERINCI;594;KG/HA;2022
;15;JAMBI;1501;NILAM;KERINCI;0;KG/HA;2022
;15;JAMBI;1502;TEBU;MERANGIN;0;KG/HA;2022
;15;JAMBI;1502;TEMBAKAU;MERANGIN;500;KG/HA;2022
;15;JAMBI;1502;NILAM;MERANGIN;168;KG/HA;2022
;15;JAMBI;1503;TEBU;SAROLANGUN;0;KG/HA;2022
;15;JAMBI;1503;TEMBAKAU;SAROLANGUN;0;KG/HA;2022
;15;JAMBI;1503;NILAM;SAROLANGUN;221;KG/HA;2022
;15;JAMBI;1504;TEBU;BATANGHARI;0;KG/HA;2022
;15;JAMBI;1504;TEMBAKAU;BATANGHARI;0;KG/HA;2022
;15;JAMBI;1504;NILAM;BATANGHARI;0;KG/HA;2022
;15;JAMBI;1505;TEBU;MUARO JAMBI;0;KG/HA;2022
;15;JAMBI;1505;TEMBAKAU;MUARO JAMBI;0;KG/HA;2022
;15;JAMBI;1505;NILAM;MUARO JAMBI;0;KG/HA;2022
;15;JAMBI;1506;TEBU;TANJUNG JABUNG BARAT;0;KG/HA;2022
;15;JAMBI;1506;TEMBAKAU;TANJUNG JABUNG BARAT;0;KG/HA;2022
;15;JAMBI;1506;NILAM;TANJUNG JABUNG BARAT;0;KG/HA;2022
;15;JAMBI;1507;TEBU;TANJUNG JABUNG TIMUR;0;KG/HA;2022
;15;JAMBI;1507;TEMBAKAU;TANJUNG JABUNG TIMUR;0;KG/HA;2022
;15;JAMBI;1507;NILAM;TANJUNG JABUNG TIMUR;0;KG/HA;2022
;15;JAMBI;1508;TEBU;BUNGO;0;KG/HA;2022
;15;JAMBI;1508;TEMBAKAU;BUNGO;0;KG/HA;2022
;15;JAMBI;1508;NILAM;BUNGO;0;KG/HA;2022
;15;JAMBI;1509;TEBU;TEBO;0;KG/HA;2022
;15;JAMBI;1509;TEMBAKAU;TEBO;0;KG/HA;2022
;15;JAMBI;1509;NILAM;TEBO;528;KG/HA;2022
;15;JAMBI;1571;TEBU;KOTA JAMBI;0;KG/HA;2022
;15;JAMBI;1571;TEMBAKAU;KOTA JAMBI;0;KG/HA;2022
;15;JAMBI;1571;NILAM;KOTA JAMBI;0;KG/HA;2022
;15;JAMBI;1572;TEBU;KOTA SUNGAI PENUH;2000;KG/HA;2022
;15;JAMBI;1572;TEMBAKAU;KOTA SUNGAI PENUH;429;KG/HA;2022
;15;JAMBI;1572;NILAM;KOTA SUNGAI PENUH;0;KG/HA;2022
;15;JAMBI;1501;TEBU;KERINCI;5658;KG/HA;2023
;15;JAMBI;1501;TEMBAKAU;KERINCI;19694;KG/HA;2023
;15;JAMBI;1501;NILAM;KERINCI;0;KG/HA;2023
;15;JAMBI;1502;TEBU;MERANGIN;0;KG/HA;2023
;15;JAMBI;1502;TEMBAKAU;MERANGIN;0;KG/HA;2023
;15;JAMBI;1502;NILAM;MERANGIN;149;KG/HA;2023
;15;JAMBI;1503;TEBU;SAROLANGUN;0;KG/HA;2023
;15;JAMBI;1503;TEMBAKAU;SAROLANGUN;0;KG/HA;2023
;15;JAMBI;1503;NILAM;SAROLANGUN;559;KG/HA;2023
;15;JAMBI;1504;TEBU;BATANGHARI;0;KG/HA;2023
;15;JAMBI;1504;TEMBAKAU;BATANGHARI;0;KG/HA;2023
;15;JAMBI;1504;NILAM;BATANGHARI;0;KG/HA;2023
;15;JAMBI;1505;TEBU;MUARO JAMBI;0;KG/HA;2023
;15;JAMBI;1505;TEMBAKAU;MUARO JAMBI;0;KG/HA;2023
;15;JAMBI;1505;NILAM;MUARO JAMBI;0;KG/HA;2023
;15;JAMBI;1506;TEBU;TANJUNG JABUNG BARAT;0;KG/HA;2023
;15;JAMBI;1506;TEMBAKAU;TANJUNG JABUNG BARAT;0;KG/HA;2023
;15;JAMBI;1506;NILAM;TANJUNG JABUNG BARAT;0;KG/HA;2023
;15;JAMBI;1507;TEBU;TANJUNG JABUNG TIMUR;0;KG/HA;2023
;15;JAMBI;1507;TEMBAKAU;TANJUNG JABUNG TIMUR;0;KG/HA;2023
;15;JAMBI;1507;NILAM;TANJUNG JABUNG TIMUR;0;KG/HA;2023
;15;JAMBI;1508;TEBU;BUNGO;0;KG/HA;2023
;15;JAMBI;1508;TEMBAKAU;BUNGO;0;KG/HA;2023
;15;JAMBI;1508;NILAM;BUNGO;0;KG/HA;2023
;15;JAMBI;1509;TEBU;TEBO;0;KG/HA;2023
;15;JAMBI;1509;TEMBAKAU;TEBO;0;KG/HA;2023
;15;JAMBI;1509;NILAM;TEBO;708;KG/HA;2023
;15;JAMBI;1571;TEBU;KOTA JAMBI;0;KG/HA;2023
;15;JAMBI;1571;TEMBAKAU;KOTA JAMBI;0;KG/HA;2023
;15;JAMBI;1571;NILAM;KOTA JAMBI;0;KG/HA;2023
;15;JAMBI;1572;TEBU;KOTA SUNGAI PENUH;2000;KG/HA;2023
;15;JAMBI;1572;TEMBAKAU;KOTA SUNGAI PENUH;250;KG/HA;2023
;15;JAMBI;1572;NILAM;KOTA SUNGAI PENUH;0;KG/HA;2023
;15;JAMBI;1501;TEBU;KERINCI;5658;KG/HA;2024
;15;JAMBI;1501;TEMBAKAU;KERINCI;616;KG/HA;2024
;15;JAMBI;1501;NILAM;KERINCI;0;KG/HA;2024
;15;JAMBI;1502;TEBU;MERANGIN;0;KG/HA;2024
;15;JAMBI;1502;TEMBAKAU;MERANGIN;400;KG/HA;2024
;15;JAMBI;1502;NILAM;MERANGIN;147;KG/HA;2024
;15;JAMBI;1503;TEBU;SAROLANGUN;0;KG/HA;2024
;15;JAMBI;1503;TEMBAKAU;SAROLANGUN;0;KG/HA;2024
;15;JAMBI;1503;NILAM;SAROLANGUN;0;KG/HA;2024
;15;JAMBI;1504;TEBU;BATANGHARI;0;KG/HA;2024
;15;JAMBI;1504;TEMBAKAU;BATANGHARI;0;KG/HA;2024
;15;JAMBI;1504;NILAM;BATANGHARI;0;KG/HA;2024
;15;JAMBI;1505;TEBU;MUARO JAMBI;0;KG/HA;2024
;15;JAMBI;1505;TEMBAKAU;MUARO JAMBI;0;KG/HA;2024
;15;JAMBI;1505;NILAM;MUARO JAMBI;0;KG/HA;2024
