id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
;15;JAMBI;1501;TEBU;5721;KG/HA;2022
;15;JAMBI;1501;TEMBAKAU;594;KG/HA;2022
;15;JAMBI;1501;NILAM;0;KG/HA;2022
;15;JAMBI;1502;TEBU;0;KG/HA;2022
;15;JAMBI;1502;TEMBAKAU;500;KG/HA;2022
;15;JAMBI;1502;NILAM;168;KG/HA;2022
;15;JAMBI;1503;TEBU;0;KG/HA;2022
;15;JAMBI;1503;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1503;NILAM;221;KG/HA;2022
;15;JAMBI;1504;TEBU;0;KG/HA;2022
;15;JAMBI;1504;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1504;NILAM;0;KG/HA;2022
;15;JAMBI;1505;TEBU;0;KG/HA;2022
;15;JAMBI;1505;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1505;NILAM;0;KG/HA;2022
;15;JAMBI;1506;TEBU;0;KG/HA;2022
;15;JAMBI;1506;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1506;NILAM;0;KG/HA;2022
;15;JAMBI;1507;TEBU;0;KG/HA;2022
;15;JAMBI;1507;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1507;NILAM;0;KG/HA;2022
;15;JAMBI;1508;TEBU;0;KG/HA;2022
;15;JAMBI;1508;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1508;NILAM;0;KG/HA;2022
;15;JAMBI;1509;TEBU;0;KG/HA;2022
;15;JAMBI;1509;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1509;NILAM;528;KG/HA;2022
;15;JAMBI;1571;TEBU;0;KG/HA;2022
;15;JAMBI;1571;TEMBAKAU;0;KG/HA;2022
;15;JAMBI;1571;NILAM;0;KG/HA;2022
;15;JAMBI;1572;TEBU;2000;KG/HA;2022
;15;JAMBI;1572;TEMBAKAU;429;KG/HA;2022
;15;JAMBI;1572;NILAM;0;KG/HA;2022
;15;JAMBI;1501;TEBU;5658;KG/HA;2023
;15;JAMBI;1501;TEMBAKAU;19694;KG/HA;2023
;15;JAMBI;1501;NILAM;0;KG/HA;2023
;15;JAMBI;1502;TEBU;0;KG/HA;2023
;15;JAMBI;1502;TEMBAKAU;0;KG/HA;2023
;15;JAMBI;1502;NILAM;149;KG/HA;2023
;15;JAMBI;1503;TEBU;0;KG/HA;2023
;15;JAMBI;1503;TEMBAKAU;0;KG/HA;2023
;15;JAMBI;1503;NILAM;559;KG/HA;2023
;15;JAMBI;1504;TEBU;0;KG/HA;2023
;15;JAMBI;1504;TEMBAKAU;0;KG/HA;2023
;15;JAMBI;1504;NILAM;0;KG/HA;2023
;15;JAMBI;1505;TEBU;0;KG/HA;2023
;15;JAMBI;1505;TEMBAKAU;0;KG/HA;2023
;15;JAMBI;1505;NILAM;0;KG/HA;2023
;15;JAMBI;1506;TEBU;0;KG/HA;2023
;15;JAMBI;1506;TEMBAKAU;0;KG/HA;2023
;15;JAMBI;1506;NILAM;0;KG/HA;2023
;15;JAMBI;1507;TEBU;0;KG/HA;2023
;15;JAMBI;1507;TEMBAKAU;0;KG/HA;2023
;15;JAMBI;1507;NILAM;0;KG/HA;2023
;15;JAMBI;1508;TEBU;0;KG/HA;2023
;15;JAMBI;1508;TEMBAKAU;0;KG/HA;2023
;15;JAMBI;1508;NILAM;0;KG/HA;2023
;15;JAMBI;1509;TEBU;0;KG/HA;2023
;15;JAMBI;1509;TEMBAKAU;0;KG/HA;2023
