id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;produktivitas;satuan;tahun
;15;JAMBI;1501;KARET;252;KG/HA;2022
;15;JAMBI;1501;KELAPA SAWIT;727;KG/HA;2022
;15;JAMBI;1501;KELAPA DALAM;481;KG/HA;2022
;15;JAMBI;1501;KOPI ROBUSTA;864;KG/HA;2022
;15;JAMBI;1501;KOPI ARABIKA;691;KG/HA;2022
;15;JAMBI;1501;CASSIAVERA;2118;KG/HA;2022
;15;JAMBI;1501;KAKAO;2524;KG/HA;2022
;15;JAMBI;1501;PINANG;463;KG/HA;2022
;15;JAMBI;1501;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1502;KARET;945;KG/HA;2022
;15;JAMBI;1502;KELAPA SAWIT;4176;KG/HA;2022
;15;JAMBI;1502;KELAPA DALAM;702;KG/HA;2022
;15;JAMBI;1502;KOPI ROBUSTA;1249;KG/HA;2022
;15;JAMBI;1502;KOPI ARABIKA;647;KG/HA;2022
;15;JAMBI;1502;CASSIAVERA;1679;KG/HA;2022
;15;JAMBI;1502;KAKAO;656;KG/HA;2022
;15;JAMBI;1502;PINANG;296;KG/HA;2022
;15;JAMBI;1502;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1503;KARET;916;KG/HA;2022
;15;JAMBI;1503;KELAPA SAWIT;2598;KG/HA;2022
;15;JAMBI;1503;KELAPA DALAM;795;KG/HA;2022
;15;JAMBI;1503;KOPI ROBUSTA;1150;KG/HA;2022
;15;JAMBI;1503;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1503;CASSIAVERA;500;KG/HA;2022
;15;JAMBI;1503;KAKAO;500;KG/HA;2022
;15;JAMBI;1503;PINANG;236;KG/HA;2022
;15;JAMBI;1503;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1504;KARET;893;KG/HA;2022
;15;JAMBI;1504;KELAPA SAWIT;3422;KG/HA;2022
;15;JAMBI;1504;KELAPA DALAM;1010;KG/HA;2022
;15;JAMBI;1504;KOPI ROBUSTA;551;KG/HA;2022
;15;JAMBI;1504;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1504;CASSIAVERA;0;KG/HA;2022
;15;JAMBI;1504;KAKAO;767;KG/HA;2022
;15;JAMBI;1504;PINANG;405;KG/HA;2022
;15;JAMBI;1504;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1505;KARET;975;KG/HA;2022
;15;JAMBI;1505;KELAPA SAWIT;2594;KG/HA;2022
;15;JAMBI;1505;KELAPA DALAM;928;KG/HA;2022
;15;JAMBI;1505;KOPI ROBUSTA;551;KG/HA;2022
;15;JAMBI;1505;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1505;CASSIAVERA;0;KG/HA;2022
;15;JAMBI;1505;KAKAO;653;KG/HA;2022
;15;JAMBI;1505;PINANG;232;KG/HA;2022
;15;JAMBI;1505;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1506;KARET;526;KG/HA;2022
;15;JAMBI;1506;KELAPA SAWIT;2497;KG/HA;2022
;15;JAMBI;1506;KELAPA DALAM;1345;KG/HA;2022
;15;JAMBI;1506;KOPI ROBUSTA;0;KG/HA;2022
;15;JAMBI;1506;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1506;CASSIAVERA;0;KG/HA;2022
;15;JAMBI;1506;KAKAO;116;KG/HA;2022
;15;JAMBI;1506;PINANG;1443;KG/HA;2022
;15;JAMBI;1506;KOPI LIBERIKA;575;KG/HA;2022
;15;JAMBI;1507;KARET;957;KG/HA;2022
;15;JAMBI;1507;KELAPA SAWIT;2422;KG/HA;2022
;15;JAMBI;1507;KELAPA DALAM;1138;KG/HA;2022
;15;JAMBI;1507;KOPI ROBUSTA;0;KG/HA;2022
;15;JAMBI;1507;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1507;CASSIAVERA;0;KG/HA;2022
;15;JAMBI;1507;KAKAO;747;KG/HA;2022
;15;JAMBI;1507;PINANG;2399;KG/HA;2022
;15;JAMBI;1507;KOPI LIBERIKA;543;KG/HA;2022
;15;JAMBI;1508;KARET;1032;KG/HA;2022
;15;JAMBI;1508;KELAPA SAWIT;3541;KG/HA;2022
;15;JAMBI;1508;KELAPA DALAM;840;KG/HA;2022
;15;JAMBI;1508;KOPI ROBUSTA;1501;KG/HA;2022
;15;JAMBI;1508;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1508;CASSIAVERA;632;KG/HA;2022
;15;JAMBI;1508;KAKAO;950;KG/HA;2022
;15;JAMBI;1508;PINANG;630;KG/HA;2022
;15;JAMBI;1508;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1509;KARET;798;KG/HA;2022
;15;JAMBI;1509;KELAPA SAWIT;2814;KG/HA;2022
;15;JAMBI;1509;KELAPA DALAM;657;KG/HA;2022
;15;JAMBI;1509;KOPI ROBUSTA;532;KG/HA;2022
;15;JAMBI;1509;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1509;CASSIAVERA;0;KG/HA;2022
;15;JAMBI;1509;KAKAO;501;KG/HA;2022
;15;JAMBI;1509;PINANG;221;KG/HA;2022
;15;JAMBI;1509;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1571;KARET;0;KG/HA;2022
;15;JAMBI;1571;KELAPA SAWIT;0;KG/HA;2022
;15;JAMBI;1571;KELAPA DALAM;0;KG/HA;2022
;15;JAMBI;1571;KOPI ROBUSTA;0;KG/HA;2022
;15;JAMBI;1571;KOPI ARABIKA;0;KG/HA;2022
;15;JAMBI;1571;CASSIAVERA;0;KG/HA;2022
;15;JAMBI;1571;KAKAO;0;KG/HA;2022
;15;JAMBI;1571;PINANG;0;KG/HA;2022
;15;JAMBI;1571;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1572;KARET;0;KG/HA;2022
;15;JAMBI;1572;KELAPA SAWIT;0;KG/HA;2022
;15;JAMBI;1572;KELAPA DALAM;1000;KG/HA;2022
;15;JAMBI;1572;KOPI ROBUSTA;507;KG/HA;2022
;15;JAMBI;1572;KOPI ARABIKA;402;KG/HA;2022
;15;JAMBI;1572;CASSIAVERA;1096;KG/HA;2022
;15;JAMBI;1572;KAKAO;408;KG/HA;2022
;15;JAMBI;1572;PINANG;328;KG/HA;2022
;15;JAMBI;1572;KOPI LIBERIKA;0;KG/HA;2022
;15;JAMBI;1501;KARET;340;KG/HA;2023
;15;JAMBI;1501;KELAPA SAWIT;727;KG/HA;2023
;15;JAMBI;1501;KELAPA DALAM;462;KG/HA;2023
;15;JAMBI;1501;KOPI ROBUSTA;940;KG/HA;2023
;15;JAMBI;1501;KOPI ARABIKA;760;KG/HA;2023
;15;JAMBI;1501;CASSIAVERA;1879;KG/HA;2023
;15;JAMBI;1501;KAKAO;398;KG/HA;2023
;15;JAMBI;1501;PINANG;481;KG/HA;2023
;15;JAMBI;1501;KOPI LIBERIKA;0;KG/HA;2023
;15;JAMBI;1502;KARET;945;KG/HA;2023
;15;JAMBI;1502;KELAPA SAWIT;3925;KG/HA;2023
;15;JAMBI;1502;KELAPA DALAM;702;KG/HA;2023
;15;JAMBI;1502;KOPI ROBUSTA;1250;KG/HA;2023
;15;JAMBI;1502;KOPI ARABIKA;647;KG/HA;2023
;15;JAMBI;1502;CASSIAVERA;1661;KG/HA;2023
;15;JAMBI;1502;KAKAO;596;KG/HA;2023
;15;JAMBI;1502;PINANG;283;KG/HA;2023
;15;JAMBI;1502;KOPI LIBERIKA;0;KG/HA;2023
;15;JAMBI;1503;KARET;906;KG/HA;2023
;15;JAMBI;1503;KELAPA SAWIT;2685;KG/HA;2023
;15;JAMBI;1503;KELAPA DALAM;795;KG/HA;2023
;15;JAMBI;1503;KOPI ROBUSTA;1183;KG/HA;2023
;15;JAMBI;1503;KOPI ARABIKA;0;KG/HA;2023
;15;JAMBI;1503;CASSIAVERA;295;KG/HA;2023
;15;JAMBI;1503;KAKAO;500;KG/HA;2023
;15;JAMBI;1503;PINANG;236;KG/HA;2023
;15;JAMBI;1503;KOPI LIBERIKA;0;KG/HA;2023
;15;JAMBI;1504;KARET;891;KG/HA;2023
;15;JAMBI;1504;KELAPA SAWIT;3537;KG/HA;2023
;15;JAMBI;1504;KELAPA DALAM;1010;KG/HA;2023
;15;JAMBI;1504;KOPI ROBUSTA;0;KG/HA;2023
;15;JAMBI;1504;KOPI ARABIKA;0;KG/HA;2023
;15;JAMBI;1504;CASSIAVERA;0;KG/HA;2023
;15;JAMBI;1504;KAKAO;633;KG/HA;2023
;15;JAMBI;1504;PINANG;466;KG/HA;2023
;15;JAMBI;1504;KOPI LIBERIKA;0;KG/HA;2023
;15;JAMBI;1505;KARET;708;KG/HA;2023
;15;JAMBI;1505;KELAPA SAWIT;2594;KG/HA;2023
;15;JAMBI;1505;KELAPA DALAM;923;KG/HA;2023
;15;JAMBI;1505;KOPI ROBUSTA;551;KG/HA;2023
;15;JAMBI;1505;KOPI ARABIKA;0;KG/HA;2023
;15;JAMBI;1505;CASSIAVERA;0;KG/HA;2023
;15;JAMBI;1505;KAKAO;581;KG/HA;2023
;15;JAMBI;1505;PINANG;232;KG/HA;2023
;15;JAMBI;1505;KOPI LIBERIKA;0;KG/HA;2023
;15;JAMBI;1506;KARET;528;KG/HA;2023
;15;JAMBI;1506;KELAPA SAWIT;2601;KG/HA;2023
;15;JAMBI;1506;KELAPA DALAM;1347;KG/HA;2023
;15;JAMBI;1506;KOPI ROBUSTA;0;KG/HA;2023
;15;JAMBI;1506;KOPI ARABIKA;0;KG/HA;2023
;15;JAMBI;1506;CASSIAVERA;0;KG/HA;2023
;15;JAMBI;1506;KAKAO;121;KG/HA;2023
;15;JAMBI;1506;PINANG;1445;KG/HA;2023
;15;JAMBI;1506;KOPI LIBERIKA;565;KG/HA;2023
;15;JAMBI;1507;KARET;677;KG/HA;2023
;15;JAMBI;1507;KELAPA SAWIT;2480;KG/HA;2023
;15;JAMBI;1507;KELAPA DALAM;1138;KG/HA;2023
;15;JAMBI;1507;KOPI ROBUSTA;543;KG/HA;2023
;15;JAMBI;1507;KOPI ARABIKA;0;KG/HA;2023
;15;JAMBI;1507;CASSIAVERA;0;KG/HA;2023
;15;JAMBI;1507;KAKAO;747;KG/HA;2023
;15;JAMBI;1507;PINANG;2160;KG/HA;2023
