id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
;15;JAMBI;1501;KARET;403;KEPALA KELUARGA;2022
;15;JAMBI;1501;KELAPA SAWIT;40;KEPALA KELUARGA;2022
;15;JAMBI;1501;KELAPA DALAM;342;KEPALA KELUARGA;2022
;15;JAMBI;1501;KOPI ROBUSTA;2531;KEPALA KELUARGA;2022
;15;JAMBI;1501;KOPI ARABIKA;2867;KEPALA KELUARGA;2022
;15;JAMBI;1501;CASSIAVERA;10030;KEPALA KELUARGA;2022
;15;JAMBI;1501;KAKAO;424;KEPALA KELUARGA;2022
;15;JAMBI;1501;PINANG;675;KEPALA KELUARGA;2022
;15;JAMBI;1501;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1502;KARET;52123;KEPALA KELUARGA;2022
;15;JAMBI;1502;KELAPA SAWIT;43010;KEPALA KELUARGA;2022
;15;JAMBI;1502;KELAPA DALAM;9201;KEPALA KELUARGA;2022
;15;JAMBI;1502;KOPI ROBUSTA;9513;KEPALA KELUARGA;2022
;15;JAMBI;1502;KOPI ARABIKA;18;KEPALA KELUARGA;2022
;15;JAMBI;1502;CASSIAVERA;2326;KEPALA KELUARGA;2022
;15;JAMBI;1502;KAKAO;2094;KEPALA KELUARGA;2022
;15;JAMBI;1502;PINANG;1503;KEPALA KELUARGA;2022
;15;JAMBI;1502;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1503;KARET;34488;KEPALA KELUARGA;2022
;15;JAMBI;1503;KELAPA SAWIT;26803;KEPALA KELUARGA;2022
;15;JAMBI;1503;KELAPA DALAM;8922;KEPALA KELUARGA;2022
;15;JAMBI;1503;KOPI ROBUSTA;991;KEPALA KELUARGA;2022
;15;JAMBI;1503;KOPI ARABIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1503;CASSIAVERA;424;KEPALA KELUARGA;2022
;15;JAMBI;1503;KAKAO;55;KEPALA KELUARGA;2022
;15;JAMBI;1503;PINANG;2852;KEPALA KELUARGA;2022
;15;JAMBI;1503;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1504;KARET;20672;KEPALA KELUARGA;2022
;15;JAMBI;1504;KELAPA SAWIT;46686;KEPALA KELUARGA;2022
;15;JAMBI;1504;KELAPA DALAM;1841;KEPALA KELUARGA;2022
;15;JAMBI;1504;KOPI ROBUSTA;612;KEPALA KELUARGA;2022
;15;JAMBI;1504;KOPI ARABIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1504;CASSIAVERA;0;KEPALA KELUARGA;2022
;15;JAMBI;1504;KAKAO;199;KEPALA KELUARGA;2022
;15;JAMBI;1504;PINANG;364;KEPALA KELUARGA;2022
;15;JAMBI;1504;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1505;KARET;15211;KEPALA KELUARGA;2022
;15;JAMBI;1505;KELAPA SAWIT;62456;KEPALA KELUARGA;2022
;15;JAMBI;1505;KELAPA DALAM;5829;KEPALA KELUARGA;2022
;15;JAMBI;1505;KOPI ROBUSTA;612;KEPALA KELUARGA;2022
;15;JAMBI;1505;KOPI ARABIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1505;CASSIAVERA;0;KEPALA KELUARGA;2022
;15;JAMBI;1505;KAKAO;1187;KEPALA KELUARGA;2022
;15;JAMBI;1505;PINANG;1198;KEPALA KELUARGA;2022
;15;JAMBI;1505;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1506;KARET;3704;KEPALA KELUARGA;2022
;15;JAMBI;1506;KELAPA SAWIT;32150;KEPALA KELUARGA;2022
;15;JAMBI;1506;KELAPA DALAM;19915;KEPALA KELUARGA;2022
;15;JAMBI;1506;KOPI ROBUSTA;0;KEPALA KELUARGA;2022
;15;JAMBI;1506;KOPI ARABIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1506;CASSIAVERA;0;KEPALA KELUARGA;2022
;15;JAMBI;1506;KAKAO;113;KEPALA KELUARGA;2022
;15;JAMBI;1506;PINANG;9343;KEPALA KELUARGA;2022
;15;JAMBI;1506;KOPI LIBERIKA;2441;KEPALA KELUARGA;2022
;15;JAMBI;1507;KARET;5271;KEPALA KELUARGA;2022
;15;JAMBI;1507;KELAPA SAWIT;11638;KEPALA KELUARGA;2022
;15;JAMBI;1507;KELAPA DALAM;22682;KEPALA KELUARGA;2022
;15;JAMBI;1507;KOPI ROBUSTA;0;KEPALA KELUARGA;2022
;15;JAMBI;1507;KOPI ARABIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1507;CASSIAVERA;0;KEPALA KELUARGA;2022
;15;JAMBI;1507;KAKAO;752;KEPALA KELUARGA;2022
;15;JAMBI;1507;PINANG;9463;KEPALA KELUARGA;2022
;15;JAMBI;1507;KOPI LIBERIKA;2762;KEPALA KELUARGA;2022
;15;JAMBI;1508;KARET;47480;KEPALA KELUARGA;2022
;15;JAMBI;1508;KELAPA SAWIT;25192;KEPALA KELUARGA;2022
;15;JAMBI;1508;KELAPA DALAM;13515;KEPALA KELUARGA;2022
;15;JAMBI;1508;KOPI ROBUSTA;676;KEPALA KELUARGA;2022
;15;JAMBI;1508;KOPI ARABIKA;0;KEPALA KELUARGA;2022
;15;JAMBI;1508;CASSIAVERA;138;KEPALA KELUARGA;2022
;15;JAMBI;1508;KAKAO;116;KEPALA KELUARGA;2022
;15;JAMBI;1508;PINANG;2547;KEPALA KELUARGA;2022
;15;JAMBI;1508;KOPI LIBERIKA;0;KEPALA KELUARGA;2022
