id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;luas_area_tanaman_belum_menghasilkan;luas_area_tanaman_menghasilkan;luas_area_tanaman_rusak;satuan;tahun
;15;JAMBI;1501;KARET;1023;761;26;HEKTAR;2022
;15;JAMBI;1501;KELAPA SAWIT;40;44;0;HEKTAR;2022
;15;JAMBI;1501;KELAPA DALAM;0;27;10;HEKTAR;2022
;15;JAMBI;1501;KOPI ROBUSTA;1193;4614;936;HEKTAR;2022
;15;JAMBI;1501;KOPI ARABIKA;1258;1311;0;HEKTAR;2022
;15;JAMBI;1501;CASSIAVERA;28460;12480;210;HEKTAR;2022
;15;JAMBI;1501;KAKAO;72;21;15;HEKTAR;2022
;15;JAMBI;1501;PINANG;16;67;24;HEKTAR;2022
;15;JAMBI;1501;KOPI LIBERIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1502;KARET;36507;82462;18706;HEKTAR;2022
;15;JAMBI;1502;KELAPA SAWIT;11700;34960;22895;HEKTAR;2022
;15;JAMBI;1502;KELAPA DALAM;207;1063;58;HEKTAR;2022
;15;JAMBI;1502;KOPI ROBUSTA;3512;8096;10;HEKTAR;2022
;15;JAMBI;1502;KOPI ARABIKA;39;17;0;HEKTAR;2022
;15;JAMBI;1502;CASSIAVERA;2179;2120;10;HEKTAR;2022
;15;JAMBI;1502;KAKAO;110;96;4;HEKTAR;2022
;15;JAMBI;1502;PINANG;169;169;5;HEKTAR;2022
;15;JAMBI;1502;KOPI LIBERIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1503;KARET;32965;63352;29412;HEKTAR;2022
;15;JAMBI;1503;KELAPA SAWIT;11824;33392;4199;HEKTAR;2022
;15;JAMBI;1503;KELAPA DALAM;71;245;42;HEKTAR;2022
;15;JAMBI;1503;KOPI ROBUSTA;307;439;24;HEKTAR;2022
;15;JAMBI;1503;KOPI ARABIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1503;CASSIAVERA;130;200;340;HEKTAR;2022
;15;JAMBI;1503;KAKAO;33;16;0;HEKTAR;2022
;15;JAMBI;1503;PINANG;33;89;26;HEKTAR;2022
;15;JAMBI;1503;KOPI LIBERIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1504;KARET;664;67996;3805;HEKTAR;2022
;15;JAMBI;1504;KELAPA SAWIT;12159;93090;6494;HEKTAR;2022
;15;JAMBI;1504;KELAPA DALAM;10;299;4;HEKTAR;2022
;15;JAMBI;1504;KOPI ROBUSTA;0;49;45;HEKTAR;2022
;15;JAMBI;1504;KOPI ARABIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1504;CASSIAVERA;0;0;0;HEKTAR;2022
;15;JAMBI;1504;KAKAO;6;30;0;HEKTAR;2022
;15;JAMBI;1504;PINANG;13;37;0;HEKTAR;2022
;15;JAMBI;1504;KOPI LIBERIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1505;KARET;13675;35172;7041;HEKTAR;2022
;15;JAMBI;1505;KELAPA SAWIT;16572;90044;30066;HEKTAR;2022
;15;JAMBI;1505;KELAPA DALAM;17;610;265;HEKTAR;2022
;15;JAMBI;1505;KOPI ROBUSTA;0;49;45;HEKTAR;2022
;15;JAMBI;1505;KOPI ARABIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1505;CASSIAVERA;0;0;0;HEKTAR;2022
;15;JAMBI;1505;KAKAO;158;548;150;HEKTAR;2022
;15;JAMBI;1505;PINANG;142;138;15;HEKTAR;2022
;15;JAMBI;1505;KOPI LIBERIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1506;KARET;1265;5909;214;HEKTAR;2022
;15;JAMBI;1506;KELAPA SAWIT;22702;58276;6786;HEKTAR;2022
;15;JAMBI;1506;KELAPA DALAM;4408;40223;6960;HEKTAR;2022
;15;JAMBI;1506;KOPI ROBUSTA;0;0;0;HEKTAR;2022
;15;JAMBI;1506;KOPI ARABIKA;0;0;0;HEKTAR;2022
;15;JAMBI;1506;CASSIAVERA;0;0;0;HEKTAR;2022
;15;JAMBI;1506;KAKAO;7;173;76;HEKTAR;2022
;15;JAMBI;1506;PINANG;3824;9617;204;HEKTAR;2022
