id;kode_provinsi;nama_provinsi;jenis_kekerasan_dan_status_perkara_kelayen;kekerasan_dan_status_perkara;kekerasan_pada_anak;jumlah;tahun
1;15;JAMBI;JENIS KEKERASAN;FISIK;ANAK;18;2021
2;15;JAMBI;JENIS KEKERASAN;FISIK;PEREMPUAN;17;2021
3;15;JAMBI;JENIS KEKERASAN;PSIKIS;ANAK;71;2021
4;15;JAMBI;JENIS KEKERASAN;PSIKIS;PEREMPUAN;34;2021
5;15;JAMBI;JENIS KEKERASAN;SEKSUAL;ANAK;55;2021
6;15;JAMBI;JENIS KEKERASAN;SEKSUAL;PEREMPUAN;5;2021
7;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;ANAK;1;2021
8;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;PEREMPUAN;16;2021
9;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;ANAK;61;2021
10;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;PEREMPUAN;8;2021
11;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;ANAK;0;2021
12;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;PEREMPUAN;0;2021
13;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;ANAK;0;2021
14;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;PEREMPUAN;0;2021
15;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;ANAK;0;2021
16;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;PEREMPUAN;0;2021
17;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;ANAK;7;2021
18;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;PEREMPUAN;7;2021
19;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;ANAK;78;2021
20;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;PEREMPUAN;52;2021
21;15;JAMBI;JENIS KEKERASAN;FISIK;ANAK;28;2022
22;15;JAMBI;JENIS KEKERASAN;FISIK;PEREMPUAN;26;2022
23;15;JAMBI;JENIS KEKERASAN;PSIKIS;ANAK;99;2022
24;15;JAMBI;JENIS KEKERASAN;PSIKIS;PEREMPUAN;58;2022
25;15;JAMBI;JENIS KEKERASAN;SEKSUAL;ANAK;68;2022
26;15;JAMBI;JENIS KEKERASAN;SEKSUAL;PEREMPUAN;8;2022
27;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;ANAK;5;2022
28;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;PEREMPUAN;4;2022
29;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;ANAK;57;2022
30;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;PEREMPUAN;19;2022
31;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;ANAK;0;2022
32;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;PEREMPUAN;0;2022
33;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;ANAK;0;2022
34;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;PEREMPUAN;0;2022
35;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;ANAK;0;2022
36;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;PEREMPUAN;0;2022
37;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;ANAK;4;2022
38;15;JAMBI;STATUS PERKARA KELAYEN;MASUK RMH PERLINDUNGAN;PEREMPUAN;7;2022
39;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;ANAK;110;2022
40;15;JAMBI;STATUS PERKARA KELAYEN;PELAYANAN SELESAI;PEREMPUAN;69;2022
41;15;JAMBI;JENIS KEKERASAN;FISIK;ANAK;36;2023
42;15;JAMBI;JENIS KEKERASAN;FISIK;PEREMPUAN;20;2023
43;15;JAMBI;JENIS KEKERASAN;PSIKIS;ANAK;130;2023
44;15;JAMBI;JENIS KEKERASAN;PSIKIS;PEREMPUAN;60;2023
45;15;JAMBI;JENIS KEKERASAN;SEKSUAL;ANAK;94;2023
46;15;JAMBI;JENIS KEKERASAN;SEKSUAL;PEREMPUAN;28;2023
47;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;ANAK;4;2023
48;15;JAMBI;JENIS KEKERASAN;PENELANTARAN;PEREMPUAN;9;2023
49;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;ANAK;111;2023
50;15;JAMBI;STATUS PERKARA KELAYEN;DI PROSES HUKUM;PEREMPUAN;36;2023
51;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;ANAK;1;2023
52;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI;PEREMPUAN;0;2023
53;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;ANAK;0;2023
54;15;JAMBI;STATUS PERKARA KELAYEN;PENGUNDURAN DIRI TANPA PEMBERITAHUAN;PEREMPUAN;0;2023
55;15;JAMBI;STATUS PERKARA KELAYEN;KASUS MASIH DALAM PROSES HUKUM;ANAK;111;2023
