NO;kode_provinsi;kode_kabupaten_kota;jenis_laporan;jenis_penanganan;jumlah_ampk_yang_terlayani;jumlah;total_capaian
1;15;1501;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;5;5;100
2;15;1501;SEKSUAL;PSIKOLOG;5;5;100
3;15;1501;SEKSUAL;VISUM;5;5;100
4;15;1501;SEKSUAL;RUMAH AMAN;5;5;100
5;15;1501;FISIK;PENDAMPINGAN BANTUAN HUKUM;5;5;100
6;15;1501;FISIK;PSIKOLOG;5;5;100
7;15;1501;FISIK;VISUM;5;5;100
8;15;1501;FISIK;RUMAH AMAN;5;5;100
9;15;1501;KENAKALAN REMAJA ABK;PENDAMPINGAN BANTUAN HUKUM;5;5;100
10;15;1501;KENAKALAN REMAJA ABK;PSIKOLOG;5;5;100
11;15;1501;KENAKALAN REMAJA ABK;VISUM;5;5;100
12;15;1501;KENAKALAN REMAJA ABK;RUMAH AMAN;5;5;100
13;15;1501;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;5;5;100
14;15;1501;PENELANTARAN;PSIKOLOG;5;5;100
15;15;1501;PENELANTARAN;VISUM;5;5;100
16;15;1501;PENELANTARAN;RUMAH AMAN;5;5;100
17;15;1502;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;9;9;100
18;15;1502;SEKSUAL;PSIKOLOG;9;9;100
19;15;1502;SEKSUAL;VISUM;9;9;100
20;15;1502;SEKSUAL;RUMAH AMAN;9;9;100
21;15;1502;FISIK;PENDAMPINGAN BANTUAN HUKUM;9;9;100
22;15;1502;FISIK;PSIKOLOG;9;9;100
23;15;1502;FISIK;VISUM;9;9;100
24;15;1502;FISIK;RUMAH AMAN;9;9;100
25;15;1502;KENAKALAN REMAJA ABK;PENDAMPINGAN BANTUAN HUKUM;9;9;100
26;15;1502;KENAKALAN REMAJA ABK;PSIKOLOG;9;9;100
27;15;1502;KENAKALAN REMAJA ABK;VISUM;9;9;100
28;15;1502;KENAKALAN REMAJA ABK;RUMAH AMAN;9;9;100
29;15;1502;PENELANTARAN;PENDAMPINGAN BANTUAN HUKUM;9;9;100
30;15;1502;PENELANTARAN;PSIKOLOG;9;9;100
31;15;1502;PENELANTARAN;VISUM;9;9;100
32;15;1502;PENELANTARAN;RUMAH AMAN;9;9;100
33;15;1503;SEKSUAL;PENDAMPINGAN BANTUAN HUKUM;7;7;100
34;15;1503;SEKSUAL;PSIKOLOG;7;7;100
35;15;1503;SEKSUAL;VISUM;7;7;100
36;15;1503;SEKSUAL;RUMAH AMAN;7;7;100
