NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_laporan;jenis_penanganan;jumlah_perempuan_korban_yang_terlayani;jumlah;total_capaian
1;15;JAMBI;1501;SEKSUAL;BANTUAN HUKUM;0;0;100
2;15;JAMBI;1501;SEKSUAL;PSIKOLOG;0;0;100
3;15;JAMBI;1501;SEKSUAL;VISUM;0;0;100
4;15;JAMBI;1501;SEKSUAL;RUMAH AMAN;0;0;100
5;15;JAMBI;1501;FISIK;BANTUAN HUKUM;0;0;100
6;15;JAMBI;1501;FISIK;PSIKOLOG;0;0;100
7;15;JAMBI;1501;FISIK;VISUM;0;0;100
8;15;JAMBI;1501;FISIK;RUMAH AMAN;0;0;100
9;15;JAMBI;1501;PSIKIS;BANTUAN HUKUM;0;0;100
10;15;JAMBI;1501;PSIKIS;PSIKOLOG;0;0;100
11;15;JAMBI;1501;PSIKIS;VISUM;0;0;100
12;15;JAMBI;1501;PSIKIS;RUMAH AMAN;0;0;100
13;15;JAMBI;1502;SEKSUAL;BANTUAN HUKUM;8;8;100
14;15;JAMBI;1502;SEKSUAL;PSIKOLOG;8;8;100
15;15;JAMBI;1502;SEKSUAL;VISUM;8;8;100
16;15;JAMBI;1502;SEKSUAL;RUMAH AMAN;8;8;100
17;15;JAMBI;1502;FISIK;BANTUAN HUKUM;8;8;100
18;15;JAMBI;1502;FISIK;PSIKOLOG;8;8;100
19;15;JAMBI;1502;FISIK;VISUM;8;8;100
20;15;JAMBI;1502;FISIK;RUMAH AMAN;8;8;100
21;15;JAMBI;1502;PSIKIS;BANTUAN HUKUM;8;8;100
22;15;JAMBI;1502;PSIKIS;PSIKOLOG;8;8;100
23;15;JAMBI;1502;PSIKIS;VISUM;8;8;100
24;15;JAMBI;1502;PSIKIS;RUMAH AMAN;8;8;100
25;15;JAMBI;1503;SEKSUAL;BANTUAN HUKUM;0;0;100
26;15;JAMBI;1503;SEKSUAL;PSIKOLOG;0;0;100
27;15;JAMBI;1503;SEKSUAL;VISUM;0;0;100
28;15;JAMBI;1503;SEKSUAL;RUMAH AMAN;0;0;100
29;15;JAMBI;1503;FISIK;BANTUAN HUKUM;0;0;100
30;15;JAMBI;1503;FISIK;PSIKOLOG;0;0;100
31;15;JAMBI;1503;FISIK;VISUM;0;0;100
32;15;JAMBI;1503;FISIK;RUMAH AMAN;0;0;100
33;15;JAMBI;1503;PSIKIS;BANTUAN HUKUM;0;0;100
34;15;JAMBI;1503;PSIKIS;PSIKOLOG;0;0;100
35;15;JAMBI;1503;PSIKIS;VISUM;0;0;100
36;15;JAMBI;1503;PSIKIS;RUMAH AMAN;0;0;100
37;15;JAMBI;1504;SEKSUAL;BANTUAN HUKUM;22;22;100
38;15;JAMBI;1504;SEKSUAL;PSIKOLOG;22;22;100
39;15;JAMBI;1504;SEKSUAL;VISUM;22;22;100
40;15;JAMBI;1504;SEKSUAL;RUMAH AMAN;22;22;100
41;15;JAMBI;1504;FISIK;BANTUAN HUKUM;22;22;100
42;15;JAMBI;1504;FISIK;PSIKOLOG;22;22;100
43;15;JAMBI;1504;FISIK;VISUM;22;22;100
44;15;JAMBI;1504;FISIK;RUMAH AMAN;22;22;100
45;15;JAMBI;1504;PSIKIS;BANTUAN HUKUM;22;22;100
46;15;JAMBI;1504;PSIKIS;PSIKOLOG;22;22;100
47;15;JAMBI;1504;PSIKIS;VISUM;22;22;100
48;15;JAMBI;1504;PSIKIS;RUMAH AMAN;22;22;100
