no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
1;15;JAMBI;1509;TEBO;BLK PONPES TERPADU AL KAUTSAR;0702230020055;02/07/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);JL. Danau Tanduk Km 07 Karya Bakti 
2;15;JAMBI;1507;TANJUNG JABUNG TIMUR;UPTD PUSKESMAS DENDANG;0903230074062;03/09/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Sultan Thaha
3;15;JAMBI;1571;KOTA JAMBI;CERITA PRODUKTIF;2503230029846;03/25/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU); Jl. Darma karya III 
4;15;JAMBI;1506;TANJUNG JABUNG BARAT;RUMAH SAKIT UMUM DAERAH KH DAUD ARIF ;1005230071003;05/10/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Syarif Hidayatullah No. 14
5;15;JAMBI;1571;KOTA JAMBI;BALAI LABORATORIUM KESEHATAN DAERAH PROVINSI JAMBI;2306230043674;06/23/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl R.M Noor Admadibrata No 06 A
6;15;JAMBI;1572;KOTA SUNGAI PENUH;KLINIK POLRES KERINCI;2607230172922;07/26/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Depati Parbo No.22 
7;15;JAMBI;1504;BATANGHARI;KLINIK PRATAMA POLRES BATANG HARI;2908230086739;08/29/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Gajah Mada No.01 
8;15;JAMBI;1572;KOTA SUNGAI PENUH;RUMAH SAKIT UMUM DAERAH MAYJEN H.A. THALIB KOTA SUNGAI PENUH;0811230055384;11/08/2023;PMDN;Non UMK;BADAN LAYANAN UMUM (BLU);Jl. Jenderal Basuki Rahmat Nomor 01
9;15;JAMBI;1507;TANJUNG JABUNG TIMUR;UPTD PUSKESMAS MUARA SABAK BARAT;1311230088375;11/13/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Sudirman
10;15;JAMBI;1503;SAROLANGUN;KLINIK PRATAMA LAPAS SAROLANGUN;1611230097775;11/16/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Pemasyarakatan
11;15;JAMBI;1504;BATANGHARI;KLINIK LPKA KELAS II MUARA BULIAN;2111230052326;11/21/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Ness Km 11 Sungai Buluh 
12;15;JAMBI;1505;MUARO JAMBI;PUSKESMAS SUKO AWIN JAYA KABUPATEN MUARO;0512230056956;12/05/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jln. Lintas Timur Km. 69
13;15;JAMBI;1505;MUARO JAMBI;RSUD SUNGAI GELAM KABUPATEN MUARO JAMBI;2912230046107;12/29/2023;PMDN;UMK;BADAN LAYANAN UMUM (BLU);Jl. Ketaling Km. 21 
