no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
1;15;JAMBI;1509;TEBO;BUNGA HARAPAN;0301230048266;01/03/2023;PMDN;UMK;KOPERASI;Teluk Rendah Ilir
2;15;JAMBI;1502;MERANGIN;UNIT DESA KELUARGA TANI;1601230043759;01/16/2023;PMDN;UMK;KOPERASI;Desa Tambang Emas
3;15;JAMBI;1501;KERINCI;AGROFORESTRY GOENOENG RAJA KOERINTJI;2301230002434;01/23/2023;PMDN;UMK;KOPERASI;Kelurahan Lempur Tengah, Kecamatan Gunung Raya, Kabupaten Kerinci, Provinsi Jambi
4;15;JAMBI;1508;BUNGO;SEPUNGGUR JAYA MAKMUR;2701230010294;01/27/2023;PMDN;UMK;KOPERASI;Sungai Gedang
5;15;JAMBI;1508;BUNGO;SAWIT BARU PELEPAT;1002230059278;02/10/2023;PMDN;UMK;KOPERASI;Kampung Lubuk
6;15;JAMBI;1505;MUARO JAMBI;CENDEKIA BERKAH BERSAMA;1602230051704;02/16/2023;PMDN;UMK;KOPERASI;Pijoan
7;15;JAMBI;1571;KOTA JAMBI;PEGAWAI NEGERI KANTOR DOLOG JAMBI DISINGKAT KPN DOLOG;0603230064146;03/06/2023;PMDN;UMK;KOPERASI;Jalan Rd Peoerboyo Kolopaking No. 42
8;15;JAMBI;1505;MUARO JAMBI;BINA USAHA;0803230075308;03/08/2023;PMDN;UMK;KOPERASI;Desa Mekar Sari 
9;15;JAMBI;1508;BUNGO;SAWIT RANTAU PANDAN;0903230003996;03/09/2023;PMDN;UMK;KOPERASI;Dusun Rantau Pandan
10;15;JAMBI;1509;TEBO;RAHAYU TEBO KREATIF;1303230074966;03/13/2023;PMDN;UMK;KOPERASI;Jl. Teuku Umar/10 Dusun Margosari Desa Tegal Arum Kec. Rimbo Bujang, Tebo, Jambi
11;15;JAMBI;1503;SAROLANGUN;SAJADAH AL KHALIFAH;1403230039259;03/14/2023;PMDN;UMK;KOPERASI;Ponpes Modern Al Khalifah
12;15;JAMBI;1502;MERANGIN;BANGUN SETIA LAMO;1903230025676;03/19/2023;PMDN;UMK;KOPERASI;Jl. Sayyid Mustafa
13;15;JAMBI;1504;BATANGHARI;ANUGERAH SENGKATI MAKMUR;0204230004504;04/02/2023;PMDN;UMK;KOPERASI;Jl. Lintas Jambi - Bungo
14;15;JAMBI;1506;TANJUNG JABUNG BARAT;MAKMUR MUDO MANDIRI;0604230026382;04/06/2023;PMDN;UMK;KOPERASI;Dusun Mudo
15;15;JAMBI;1503;SAROLANGUN;AGRINDO MAJU BERSAMA SEJAHTERA;1104230068722;04/11/2023;PMDN;Non UMK;KOPERASI;Dusun Lubuk Buntak
16;15;JAMBI;1505;MUARO JAMBI;WIRA USAHA;1404230038237;04/14/2023;PMDN;UMK;KOPERASI;Jl. Jambi Suak Kandis Desa Teluk Raya
17;15;JAMBI;1505;MUARO JAMBI;PUDING SEJAHTERA;1804230011928;04/18/2023;PMDN;UMK;KOPERASI;Desa Puding 
18;15;JAMBI;1505;MUARO JAMBI;AMANAH FAMILI SEJAHTERA;0405230003835;05/04/2023;PMDN;UMK;KOPERASI;Jalan Jambi - Muara Bulian, Km 21
19;15;JAMBI;1571;KOTA JAMBI;SAWIT MADU BENGKAL;1105230011786;05/11/2023;PMDN;UMK;KOPERASI;Villa Melati Asri 2 Blok D1 No.71
20;15;JAMBI;1502;MERANGIN;UNIT DESA SUKO MAKMUR;2505230072835;05/25/2023;PMDN;UMK;KOPERASI;Jalan Poros
21;15;JAMBI;1506;TANJUNG JABUNG BARAT;MEKAR SARI;3005230052175;05/30/2023;PMDN;UMK;KOPERASI;Jl. Syarif Hidayatullah No. 14 Kec.Tungkal Ilir Kab.Tanjung Jabung Barat
22;15;JAMBI;1501;KERINCI;KAYUMANIS KORINTJI SPICES;0806230111324;06/08/2023;PMDN;UMK;KOPERASI;Jalan Panas Bumi, Desa Talang Kemuning, Kecamatan Bukit Kerman, Kabupaten Kerinci, Provinsi Jambi
23;15;JAMBI;1504;BATANGHARI;JAMBI ANUGERAH MANDIRI;1406230036057;06/14/2023;PMDN;UMK;KOPERASI;Desa Sungai Buluh
24;15;JAMBI;1571;KOTA JAMBI;OBJEK LANDREFORM TIGALIMADELAPAN TIGABELAS TARIKAN;1506230146365;06/15/2023;PMDN;UMK;KOPERASI;Jenderal Sudirman Nomor 71
25;15;JAMBI;1505;MUARO JAMBI;KARYAWAN PT PSUT;1606230058192;06/16/2023;PMDN;UMK;KOPERASI;Jl.Lintas Timur Desa Sarang Burung  
26;15;JAMBI;1571;KOTA JAMBI;KELUARGA KESEHATAN SEJAHTERA;1207230114514;07/12/2023;PMDN;UMK;KOPERASI;Jalan Amangkurat No. 05
27;15;JAMBI;1507;TANJUNG JABUNG TIMUR;TENAGA KERJA BONGKAR MUAT TKBM PELABUHAN MUARA SABAK;2807230218644;07/28/2023;PMDN;UMK;KOPERASI;Jl. Spot Holl Rt. 02
28;15;JAMBI;1507;TANJUNG JABUNG TIMUR;KARYA MULYA;2807230261945;07/28/2023;PMDN;UMK;KOPERASI;Jl.Bhayangkara Rt.11/01
29;15;JAMBI;1571;KOTA JAMBI;SAHABAT MEDIA SIBER;2807230266862;07/28/2023;PMDN;UMK;KOPERASI;Jalan Sunan Giri, Lorong Hm. Sukur, Nomor 123
30;15;JAMBI;1504;BATANGHARI;KUNANGAN USAHA MANDIRI;2907230234755;07/29/2023;PMDN;UMK;KOPERASI;Dusun Kunangan Jaya 2
31;15;JAMBI;1506;TANJUNG JABUNG BARAT;MENDALUH ALAM SAKTI;3107230042559;07/31/2023;PMDN;UMK;KOPERASI;Jalan Lintas Tengah
32;15;JAMBI;1571;KOTA JAMBI;KARYAWAN KOMPAK;0208230048465;08/02/2023;PMDN;UMK;KOPERASI;Jl Slamet Riyadi No 14
33;15;JAMBI;1506;TANJUNG JABUNG BARAT;UNIT DESA PAYUNG SAKTI;0308230017236;08/03/2023;PMDN;UMK;KOPERASI;Desa Tanjung Bojo Kecamatan Batang Asam Kab.Tanjung Jabung Barat
34;15;JAMBI;1509;TEBO;PEREMPUAN BINA LESTARI SEKALO;0308230017517;08/03/2023;PMDN;UMK;KOPERASI;Rukun Tetangga 004, Rukun Warga 000
35;15;JAMBI;1505;MUARO JAMBI;HARAPAN JAYA;0408230061179;08/04/2023;PMDN;Non UMK;KOPERASI;Seponjen
36;15;JAMBI;1505;MUARO JAMBI;MEKAR JAYA;0408230062136;08/04/2023;PMDN;UMK;KOPERASI;Desa Sungai Bungur Kecamatan Kumpeh Ilir
37;15;JAMBI;1504;BATANGHARI;BATIN SUMBER REZKI;0908230072179;08/09/2023;PMDN;UMK;KOPERASI;Jalan  Jambi Nes-Muara Bulian
38;15;JAMBI;1504;BATANGHARI;MAHKOTA INTAN PERMATA MAKMUR;0908230077827;08/09/2023;PMDN;UMK;KOPERASI;Jalan Jambi-Muara Bulian
39;15;JAMBI;1504;BATANGHARI;REZEKI MANDIRI SEJAHTERA;0908230088111;08/09/2023;PMDN;UMK;KOPERASI;Desa Mekar Sari Ness
40;15;JAMBI;1503;SAROLANGUN;PENGAYOMAN LAPAS SAROLANGUN;1108230032287;08/11/2023;PMDN;UMK;KOPERASI;Jalan Pemasyarakatan
41;15;JAMBI;1504;BATANGHARI;SUKU ANAK DALAM SATU SATU TIGA;1308230060145;08/13/2023;PMDN;UMK;KOPERASI;Jalan Hutan Lindung Nomor 19
42;15;JAMBI;1507;TANJUNG JABUNG TIMUR;SEHAT BERSAMA;1408230124384;08/14/2023;PMDN;UMK;KOPERASI;Jln. Wr Supratman Rt. 004
43;15;JAMBI;1509;TEBO;BERKAH TABIR MANDIRI;1508230120875;08/15/2023;PMDN;UMK;KOPERASI;Tambun Arang Kec. Muara Tabir Tebo
44;15;JAMBI;1571;KOTA JAMBI;CUM MADUMA AURDURI;2308230081476;08/23/2023;PMDN;UMK;KOPERASI;Jalan Sungai Bleren
45;15;JAMBI;1571;KOTA JAMBI;UNBARI JAYA BERSAMA;2908230092455;08/29/2023;PMDN;UMK;KOPERASI;Slamet Riyadi Nomor 1 
46;15;JAMBI;1505;MUARO JAMBI;BUKIT JAYA SEJAHTERA;0409230131156;09/04/2023;PMDN;UMK;KOPERASI;Jalan Soekarno Hatta
47;15;JAMBI;1505;MUARO JAMBI;FAJAR PAGI;1109230164421;09/11/2023;PMDN;UMK;KOPERASI;Betung
48;15;JAMBI;1509;TEBO;RANTAU API BERJAYA;1209230125619;09/12/2023;PMDN;UMK;KOPERASI;Jalan Raya Bungo-Jambi
49;15;JAMBI;1504;BATANGHARI;BATIN SEMBILAN MANDIRI;1309230122437;09/13/2023;PMDN;UMK;KOPERASI;Km 35 Kunangan Jaya 1
50;15;JAMBI;1509;TEBO;TANI SAWIT BAROKAH;2109230201287;09/21/2023;PMDN;UMK;KOPERASI;Jl. Jambi-Padang Lamo
51;15;JAMBI;1508;BUNGO;ARTHA KARYA SEJAHTERA MUKTI TAMA;2209230223463;09/22/2023;PMDN;UMK;KOPERASI;Jalan Jakarta
52;15;JAMBI;1571;KOTA JAMBI;RINDANG SEJAHTERA BERSAMA;2509230063674;09/25/2023;PMDN;UMK;KOPERASI;Jalan Yulius Usman
53;15;JAMBI;1507;TANJUNG JABUNG TIMUR;SERBA USAHA SIMPANG JAYA ABADI;2609230148205;09/26/2023;PMDN;UMK;KOPERASI;Kelurahan Simpang
54;15;JAMBI;1503;SAROLANGUN;SINERGI KARYAWAN MERUAP;2909230062824;09/29/2023;PMDN;UMK;KOPERASI;Aur Gading 
55;15;JAMBI;1506;TANJUNG JABUNG BARAT;PERKEBUNAN MAJU BERSAMA;0210230045824;10/02/2023;PMDN;UMK;KOPERASI;Jl.Lintas Timur Rt.06 Desa Pematang Pauh Kec. Tungkal Ulu
56;15;JAMBI;1502;MERANGIN;TANJUNG SEHATI LESTARI;0410230029128;10/04/2023;PMDN;UMK;KOPERASI;Jalan Apel
57;15;JAMBI;1505;MUARO JAMBI;SUMBER ALAM MUJI;0510230065605;10/05/2023;PMDN;UMK;KOPERASI;Jalan Raden Anom
58;15;JAMBI;1509;TEBO;WANITA RIMBO JAYA;1110230078134;10/11/2023;PMDN;UMK;KOPERASI;Jalan Pahlawan
59;15;JAMBI;1508;BUNGO;UNIT DESA BHAKTI PAMESUN;1210230147942;10/12/2023;PMDN;UMK;KOPERASI;Talang Pamesun
60;15;JAMBI;1506;TANJUNG JABUNG BARAT;MERLUNG SEHATI SEJAHTERA;1310230032728;10/13/2023;PMDN;UMK;KOPERASI;Puskesmas Rawat Inap Merlung. Jl. Bhakti Husada No.05. Merlung
61;15;JAMBI;1508;BUNGO;PEGAWAI NEGERI BHAKTI HUSADA;1310230037849;10/13/2023;PMDN;UMK;KOPERASI;Jl. Teuku Umar No 14 Rimbo Tengah
62;15;JAMBI;1506;TANJUNG JABUNG BARAT;FAMILY SEJAHTERA SUBAN;1710230042625;10/17/2023;PMDN;UMK;KOPERASI;Jl. Lintas Timur Desa Suban. Kec. Batang Asam
63;15;JAMBI;1571;KOTA JAMBI;KARTIKA PUTRI PINANG MASAK;1710230046789;10/17/2023;PMDN;UMK;KOPERASI;Jalan Doktor Ak Gani Nomor 03
64;15;JAMBI;1506;TANJUNG JABUNG BARAT;SAREN SEJAHTERA BERSAMA;1710230091552;10/17/2023;PMDN;UMK;KOPERASI;Puskesmas Sungai Saren. Jl. Lintas Kuala Tungkal -Jambi. Km.12. Kel. Bram Itam Kiri. Kec. Bram Itam
