no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
1;15;JAMBI;1505;MUARO JAMBI;SAJARAN LESTARI;0905230085156;05/09/2023;PMDN;Non UMK;BUM DESA;DESA PEMATANG PULAI
2;15;JAMBI;1506;TANJUNG JABUNG BARAT;JATI MAKMUR;1105230103867;05/11/2023;PMDN;UMK;BUM DESA;RT 06 DESA MEKAR JATI KECAMATAN PENGABUAN
3;15;JAMBI;1506;TANJUNG JABUNG BARAT;SEDERHANA;2607230199639;07/26/2023;PMDN;UMK;BUM DESA;Jl. Lintas Kuala Tungkal Jambi 
4;15;JAMBI;1506;TANJUNG JABUNG BARAT;BUM DESA USAHA KEMUNING;1910230089045;10/19/2023;PMDN;UMK;BUM DESA;Desa Kemuning
5;15;JAMBI;1506;TANJUNG JABUNG BARAT;PRAMBANAN;2510230050533;10/25/2023;PMDN;UMK;BUM DESA;PARIT.08 BRAM ITAM KANAN
6;15;JAMBI;1506;TANJUNG JABUNG BARAT;SEPAH BERUANG;2610230091945;10/26/2023;PMDN;UMK;BUM DESA;DUSUN PINANG EMAS 
7;15;JAMBI;1506;TANJUNG JABUNG BARAT;RAYA;2011230080326;11/20/2023;PMDN;UMK;BUM DESA;JL. lintas teluk Nilau RT.05 Dusun Bumi Suci
8;15;JAMBI;1506;TANJUNG JABUNG BARAT;SUMBER BERKAH;2111230038086;11/21/2023;PMDN;UMK;BUM DESA;Jl. Harmoko RT 05 Dusun Pelayangan
9;15;JAMBI;1506;TANJUNG JABUNG BARAT;CAHAYA BERKAH;2311230054345;11/23/2023;PMDN;UMK;BUM DESA;Dusun Pematang Payung Rt.001
10;15;JAMBI;1506;TANJUNG JABUNG BARAT;JADI MULYA;2311230089954;11/23/2023;PMDN;UMK;BUM DESA;jl. tanjung mas 
11;15;JAMBI;1506;TANJUNG JABUNG BARAT;TEGAR GEMILANG;2311230092459;11/23/2023;PMDN;UMK;BUM DESA;lorong 2 ujung serdang jaya
12;15;JAMBI;1508;BUNGO;JAYA BERSAMA;2511230044166;11/25/2023;PMDN;UMK;BUM DESA;Jl. Ir. soekarno, blok F
13;15;JAMBI;1506;TANJUNG JABUNG BARAT;FUJIKU ARTOMORO;0112230025957;12/01/2023;PMDN;UMK;BUM DESA;JL.Lintas Kuala Tungkal Jambi
14;15;JAMBI;1506;TANJUNG JABUNG BARAT;USAHA BERSAMA;0812230039624;12/08/2023;PMDN;UMK;BUM DESA;DUSUN NYIUR GADING
15;15;JAMBI;1506;TANJUNG JABUNG BARAT;KARYA BAKTI BERSAMA;1212230056515;12/12/2023;PMDN;UMK;BUM DESA;JL. BALAI DESA RT.007
16;15;JAMBI;1506;TANJUNG JABUNG BARAT;USAHA MAJU MANDIRI;1212230079623;12/12/2023;PMDN;UMK;BUM DESA;Desa Tanjung Bojo
17;15;JAMBI;1506;TANJUNG JABUNG BARAT;AMANAH;1212230087894;12/12/2023;PMDN;UMK;BUM DESA;JL. lintas serdang Jaya - Sungai Dungun
18;15;JAMBI;1506;TANJUNG JABUNG BARAT;GEMILANG;1412230117177;12/14/2023;PMDN;UMK;BUM DESA;Jl. Lintas Tansen Parit 7 RT.001 Dusun Mekar Desa mekar Tanjung
19;15;JAMBI;1506;TANJUNG JABUNG BARAT;KEMAMBAI SEJAHTERA;1512230066622;12/15/2023;PMDN;UMK;BUM DESA;jl. poros tanjung kemang
20;15;JAMBI;1506;TANJUNG JABUNG BARAT;BERDIKARI;1912230177802;12/19/2023;PMDN;UMK;BUM DESA;Dusun Mulya RT.007
21;15;JAMBI;1506;TANJUNG JABUNG BARAT;ASTANA;2612230011349;12/26/2023;PMDN;UMK;BUM DESA;Dusun Karya 
22;15;JAMBI;1506;TANJUNG JABUNG BARAT;USAHA BERSAMA;2612230016167;12/26/2023;PMDN;UMK;BUM DESA;RT.005 Desa pasar Senin
23;15;JAMBI;1506;TANJUNG JABUNG BARAT;BINA KARYA BERSAMA;3112230002457;12/31/2023;PMDN;UMK;BUM DESA;DESA LUBUK LAWAS
