no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
1;15;JAMBI;1571;KOTA JAMBI;ROUDLOTUL QURAN ALHIDAYAH;0201230026088;01/02/2023;PMDN;UMK;YAYASAN;Perumahan Green Golf Residence Ruko No.2
2;15;JAMBI;1571;KOTA JAMBI;TK ROUDHOTU ASH SHIBYAN;0301230048615;01/03/2023;PMDN;UMK;YAYASAN;Jl.Rajawali 1 Rt.19
3;15;JAMBI;1509;TEBO;EL MUMTAZAH NURUSSHIDQI;1101230023096;01/11/2023;PMDN;UMK;YAYASAN;Air Panas 
4;15;JAMBI;1505;MUARO JAMBI;PAUD HARAPAN IBU;1701230027033;01/17/2023;PMDN;UMK;YAYASAN;Dusun Setia Jaya 
5;15;JAMBI;1571;KOTA JAMBI;BAGIMU NEGRI JAMBI;1801230013692;01/18/2023;PMDN;UMK;YAYASAN;Jl. Lingkar Barat 1 Lrg. Veteran, Bagan Pete, Alam Barajo, Kota Jambi
6;15;JAMBI;1501;KERINCI;AL KHIKMAH KERINCI;2301230024214;01/23/2023;PMDN;UMK;YAYASAN;Sungai Jambu
7;15;JAMBI;1505;MUARO JAMBI;RIBATH AL-RASIKHIN;2501230008075;01/25/2023;PMDN;UMK;YAYASAN;Jl. Tembesi- Jambi Perum. Hello Conia Blok H7 
8;15;JAMBI;1571;KOTA JAMBI;RAYHAN AHSAN;2601230029474;01/26/2023;PMDN;UMK;YAYASAN;Jalan Sunan Gunung Jati
9;15;JAMBI;1572;KOTA SUNGAI PENUH;DARUL HIKMAH MUMTAZA;2601230038924;01/26/2023;PMDN;UMK;YAYASAN;Jl. Abdurrahman Karim Ii
10;15;JAMBI;1509;TEBO;BLKK BAITU ANFA'UNNAS;0602230025592;02/06/2023;PMDN;UMK;YAYASAN;Jl. Plongko Wati Desa Purwoharjo Kec. Rimbo Bujang Tebo
11;15;JAMBI;1571;KOTA JAMBI;PUSAT TUMBUH KEMBANG ANAK YAMET JAMBI;0702230062234;02/07/2023;PMDN;UMK;YAYASAN;Jl. Mayjen Hmj Singedekane No. 36
12;15;JAMBI;1503;SAROLANGUN;BLKK NURUL HUDA MANDIANGIN;0802230068039;02/08/2023;PMDN;UMK;YAYASAN;Jl. Siswa Dusun Suko Karangan
13;15;JAMBI;1503;SAROLANGUN;BLK KOMUNITAS HIDAYATUL MUBTADIIEN;0802230074273;02/08/2023;PMDN;UMK;YAYASAN;Jln. Sarolangun-Ma Tembesi Km 13
14;15;JAMBI;1501;KERINCI;AL-MUIZ JAMBI;0802230083328;02/08/2023;PMDN;UMK;YAYASAN;Jl. Radjo Mudo
15;15;JAMBI;1571;KOTA JAMBI;MAULIDINA HADIID AHMAD;0902230040592;02/09/2023;PMDN;UMK;YAYASAN;Jl. Pangeran Hidayat Lr. Siswa 
16;15;JAMBI;1509;TEBO;BLK MIFTAHUL HUDA;1202230018938;02/12/2023;PMDN;UMK;YAYASAN;Jalan 17
